x_id,x_kind,disposition,pressure_id,source_id,model_path,instance_id,instance_version,value,provenance,custody,invariant_check_ids,enforcement_reality,open_pressure_disposition,cause_classification,classification_evidence,current_project_fit,evolution_change,independent_reason,semantic_proof_authority_custody_preservation,migration_cost,affected_artifacts,current_form_representable,evolved_form_representable,post_evolution_fit,unresolved_discriminator
core.Scope.fields.expires_at,Scope,exercised,not-applicable,"R01,R02,R03,R04,R05,R06,M01,M02,M06,T01,T02",core.Scope.fields.expires_at,"SC-MIS,SC-TEAM",1,set on 2/4 instances,wfh-008 alphabet R + M01 as parsed + T01/T02 (ledgered transitive),"git (themes.md, SCOPE.md) + forge",see instance + wfh-008-validate.py output,specified-not-enforced,n/a,not-applicable,not-applicable,not-applicable,not-applicable,not-applicable,not-applicable,not-applicable,not-applicable,not-applicable,not-applicable,not-applicable,not-applicable
core.Scope.relations.parent,Scope,exercised,not-applicable,"R01,R02,R03,R04,R05,R06,M01,M02,M06,T01,T02",core.Scope.relations.parent,"SC-PROG,SC-MIS,SC-TEAM",1,"non-empty on 3/4; declared inverse, closed mechanically",wfh-008 alphabet R + M01 as parsed + T01/T02 (ledgered transitive),"git (themes.md, SCOPE.md) + forge",see instance + wfh-008-validate.py output,mechanically checkable and checked,n/a,not-applicable,not-applicable,not-applicable,not-applicable,not-applicable,not-applicable,not-applicable,not-applicable,not-applicable,not-applicable,not-applicable,not-applicable
core.Scope.relations.contains,Scope,exercised,not-applicable,"R01,R02,R03,R04,R05,R06,M01,M02,M06,T01,T02",core.Scope.relations.contains,"SC-COL,SC-PROG,SC-MIS",1,"non-empty on 3/4; declared inverse, closed mechanically",wfh-008 alphabet R + M01 as parsed + T01/T02 (ledgered transitive),"git (themes.md, SCOPE.md) + forge",see instance + wfh-008-validate.py output,mechanically checkable and checked,n/a,not-applicable,not-applicable,not-applicable,not-applicable,not-applicable,not-applicable,not-applicable,not-applicable,not-applicable,not-applicable,not-applicable,not-applicable
core.Scope.open[0],Scope,construct-pressure,not-applicable,"R01,R02,R03,R04,R05,R06,M01,M02,M06,T01,T02",core.Scope.open[0],none,not-applicable,type-specific constraints,wfh-008 alphabet R + M01 as parsed + T01/T02 (ledgered transitive),"git (themes.md, SCOPE.md) + forge",see instance + wfh-008-validate.py output,not-applicable,still-open,not-applicable,not-applicable,not-applicable,not-applicable,not-applicable,not-applicable,not-applicable,not-applicable,not-applicable,not-applicable,not-applicable,not-applicable
core.Scope.open[1],Scope,construct-pressure,not-applicable,"R01,R02,R03,R04,R05,R06,M01,M02,M06,T01,T02",core.Scope.open[1],none,not-applicable,federation,wfh-008 alphabet R + M01 as parsed + T01/T02 (ledgered transitive),"git (themes.md, SCOPE.md) + forge",see instance + wfh-008-validate.py output,not-applicable,still-open,not-applicable,not-applicable,not-applicable,not-applicable,not-applicable,not-applicable,not-applicable,not-applicable,not-applicable,not-applicable,not-applicable,not-applicable
core.Scope.open[2],Scope,construct-pressure,not-applicable,"R01,R02,R03,R04,R05,R06,M01,M02,M06,T01,T02",core.Scope.open[2],none,not-applicable,authority-root succession,wfh-008 alphabet R + M01 as parsed + T01/T02 (ledgered transitive),"git (themes.md, SCOPE.md) + forge",see instance + wfh-008-validate.py output,not-applicable,still-open,not-applicable,not-applicable,not-applicable,not-applicable,not-applicable,not-applicable,not-applicable,not-applicable,not-applicable,not-applicable,not-applicable,not-applicable
core.Scope.open[3],Scope,construct-pressure,not-applicable,"R01,R02,R03,R04,R05,R06,M01,M02,M06,T01,T02",core.Scope.open[3],none,not-applicable,termination and transfer,wfh-008 alphabet R + M01 as parsed + T01/T02 (ledgered transitive),"git (themes.md, SCOPE.md) + forge",see instance + wfh-008-validate.py output,not-applicable,still-open,not-applicable,not-applicable,not-applicable,not-applicable,not-applicable,not-applicable,not-applicable,not-applicable,not-applicable,not-applicable,not-applicable,not-applicable
core.Goal.versioned,Goal,exercised,not-applicable,"R01,R02,R03,R04,R05,R06,M01,M02,M06,T01,T02",core.Goal.versioned,"GO-WFH,GO-JURATI-SUBSTRATE",1,versioned=True; the checker enforces presence/absence of a version on every instance,wfh-008 alphabet R + M01 as parsed + T01/T02 (ledgered transitive),"git (themes.md, SCOPE.md)",see instance + wfh-008-validate.py output,mechanically checkable and checked,n/a,not-applicable,not-applicable,not-applicable,not-applicable,not-applicable,not-applicable,not-applicable,not-applicable,not-applicable,not-applicable,not-applicable,not-applicable
core.Goal.identity,Goal,exercised,not-applicable,"R01,R02,R03,R04,R05,R06,M01,M02,M06,T01,T02",core.Goal.identity,"GO-WFH,GO-JURATI-SUBSTRATE",1,identity=goal_id; opaque ids in the instance,wfh-008 alphabet R + M01 as parsed + T01/T02 (ledgered transitive),"git (themes.md, SCOPE.md)",see instance + wfh-008-validate.py output,specified-not-enforced,n/a,not-applicable,not-applicable,not-applicable,not-applicable,not-applicable,not-applicable,not-applicable,not-applicable,not-applicable,not-applicable,not-applicable,not-applicable
core.Goal.form,Goal,exercised,not-applicable,"R01,R02,R03,R04,R05,R06,M01,M02,M06,T01,T02",core.Goal.form,"GO-WFH,GO-JURATI-SUBSTRATE",1,form=entity,wfh-008 alphabet R + M01 as parsed + T01/T02 (ledgered transitive),"git (themes.md, SCOPE.md)",see instance + wfh-008-validate.py output,not-applicable,S3: form is undocumented in notation,not-applicable,not-applicable,not-applicable,not-applicable,not-applicable,not-applicable,not-applicable,not-applicable,not-applicable,not-applicable,not-applicable,not-applicable
core.Goal.status,Goal,exercised,not-applicable,"R01,R02,R03,R04,R05,R06,M01,M02,M06,T01,T02",core.Goal.status,none,not-applicable,"model status=RESOLVED; consumed as test input, not as permission to fill holes",wfh-008 alphabet R + M01 as parsed + T01/T02 (ledgered transitive),"git (themes.md, SCOPE.md)",see instance + wfh-008-validate.py output,not-applicable,n/a,not-applicable,not-applicable,not-applicable,not-applicable,not-applicable,not-applicable,not-applicable,not-applicable,not-applicable,not-applicable,not-applicable,not-applicable
core.Goal.invariants,Goal,exercised,not-applicable,"R01,R02,R03,R04,R05,R06,M01,M02,M06,T01,T02",core.Goal.invariants,none,not-applicable,cites ['I13'],wfh-008 alphabet R + M01 as parsed + T01/T02 (ledgered transitive),"git (themes.md, SCOPE.md)",see instance + wfh-008-validate.py output,see the invariant rows,n/a,not-applicable,not-applicable,not-applicable,not-applicable,not-applicable,not-applicable,not-applicable,not-applicable,not-applicable,not-applicable,not-applicable,not-applicable
core.Goal.fields.statement,Goal,exercised,not-applicable,"R01,R02,R03,R04,R05,R06,M01,M02,M06,T01,T02",core.Goal.fields.statement,"GO-WFH,GO-JURATI-SUBSTRATE",1,set on 2/2 instances,wfh-008 alphabet R + M01 as parsed + T01/T02 (ledgered transitive),"git (themes.md, SCOPE.md)",see instance + wfh-008-validate.py output,specified-not-enforced,n/a,not-applicable,not-applicable,not-applicable,not-applicable,not-applicable,not-applicable,not-applicable,not-applicable,not-applicable,not-applicable,not-applicable,not-applicable
core.Goal.fields.scope_ref,Goal,exercised,not-applicable,"R01,R02,R03,R04,R05,R06,M01,M02,M06,T01,T02",core.Goal.fields.scope_ref,"GO-WFH,GO-JURATI-SUBSTRATE",1,set on 2/2 instances,wfh-008 alphabet R + M01 as parsed + T01/T02 (ledgered transitive),"git (themes.md, SCOPE.md)",see instance + wfh-008-validate.py output,specified-not-enforced,n/a,not-applicable,not-applicable,not-applicable,not-applicable,not-applicable,not-applicable,not-applicable,not-applicable,not-applicable,not-applicable,not-applicable,not-applicable
core.Goal.fields.success_criteria,Goal,exercised,not-applicable,"R01,R02,R03,R04,R05,R06,M01,M02,M06,T01,T02",core.Goal.fields.success_criteria,"GO-WFH,GO-JURATI-SUBSTRATE",1,set on 2/2 instances,wfh-008 alphabet R + M01 as parsed + T01/T02 (ledgered transitive),"git (themes.md, SCOPE.md)",see instance + wfh-008-validate.py output,specified-not-enforced,n/a,not-applicable,not-applicable,not-applicable,not-applicable,not-applicable,not-applicable,not-applicable,not-applicable,not-applicable,not-applicable,not-applicable,not-applicable
core.Goal.fields.claim_floor,Goal,exercised,not-applicable,"R01,R02,R03,R04,R05,R06,M01,M02,M06,T01,T02",core.Goal.fields.claim_floor,"GO-WFH,GO-JURATI-SUBSTRATE",1,set on 2/2 instances,wfh-008 alphabet R + M01 as parsed + T01/T02 (ledgered transitive),"git (themes.md, SCOPE.md)",see instance + wfh-008-validate.py output,specified-not-enforced,n/a,not-applicable,not-applicable,not-applicable,not-applicable,not-applicable,not-applicable,not-applicable,not-applicable,not-applicable,not-applicable,not-applicable,not-applicable
core.Goal.fields.north_star,Goal,exercised,not-applicable,"R01,R02,R03,R04,R05,R06,M01,M02,M06,T01,T02",core.Goal.fields.north_star,"GO-WFH,GO-JURATI-SUBSTRATE",1,set on 2/2 instances,wfh-008 alphabet R + M01 as parsed + T01/T02 (ledgered transitive),"git (themes.md, SCOPE.md)",see instance + wfh-008-validate.py output,specified-not-enforced,n/a,not-applicable,not-applicable,not-applicable,not-applicable,not-applicable,not-applicable,not-applicable,not-applicable,not-applicable,not-applicable,not-applicable,not-applicable
core.Goal.fields.lifecycle_state,Goal,exercised,not-applicable,"R01,R02,R03,R04,R05,R06,M01,M02,M06,T01,T02",core.Goal.fields.lifecycle_state,"GO-WFH,GO-JURATI-SUBSTRATE",1,set on 2/2 instances,wfh-008 alphabet R + M01 as parsed + T01/T02 (ledgered transitive),"git (themes.md, SCOPE.md)",see instance + wfh-008-validate.py output,specified-not-enforced,n/a,not-applicable,not-applicable,not-applicable,not-applicable,not-applicable,not-applicable,not-applicable,not-applicable,not-applicable,not-applicable,not-applicable,not-applicable
core.Goal.relations.requires,Goal,not-applicable,not-applicable,"R01,R02,R03,R04,R05,R06,M01,M02,M06,T01,T02",core.Goal.relations.requires,none,not-applicable,empty on every instance - no historical occurrence,wfh-008 alphabet R + M01 as parsed + T01/T02 (ledgered transitive),"git (themes.md, SCOPE.md)",see instance + wfh-008-validate.py output,specified-not-enforced,missing-history,not-applicable,not-applicable,not-applicable,not-applicable,not-applicable,not-applicable,not-applicable,not-applicable,not-applicable,not-applicable,not-applicable,not-applicable
core.Goal.relations.is_advanced_by,Goal,not-applicable,not-applicable,"R01,R02,R03,R04,R05,R06,M01,M02,M06,T01,T02",core.Goal.relations.is_advanced_by,none,not-applicable,empty on every instance - no historical occurrence,wfh-008 alphabet R + M01 as parsed + T01/T02 (ledgered transitive),"git (themes.md, SCOPE.md)",see instance + wfh-008-validate.py output,specified-not-enforced,missing-history,not-applicable,not-applicable,not-applicable,not-applicable,not-applicable,not-applicable,not-applicable,not-applicable,not-applicable,not-applicable,not-applicable,not-applicable
core.Goal.relations.directs,Goal,exercised,not-applicable,"R01,R02,R03,R04,R05,R06,M01,M02,M06,T01,T02",core.Goal.relations.directs,"GO-WFH,GO-JURATI-SUBSTRATE",1,"non-empty on 2/2; declared inverse, closed mechanically",wfh-008 alphabet R + M01 as parsed + T01/T02 (ledgered transitive),"git (themes.md, SCOPE.md)",see instance + wfh-008-validate.py output,mechanically checkable and checked,n/a,not-applicable,not-applicable,not-applicable,not-applicable,not-applicable,not-applicable,not-applicable,not-applicable,not-applicable,not-applicable,not-applicable,not-applicable
core.Capability.versioned,Capability,exercised,not-applicable,"R01,R02,R03,R04,R05,R06,M01,M02,M06,T01,T02",core.Capability.versioned,none,not-applicable,versioned=True; the checker enforces presence/absence of a version on every instance,wfh-008 alphabet R + M01 as parsed + T01/T02 (ledgered transitive),none - no instance,see instance + wfh-008-validate.py output,mechanically checkable and checked,n/a,not-applicable,not-applicable,not-applicable,not-applicable,not-applicable,not-applicable,not-applicable,not-applicable,not-applicable,not-applicable,not-applicable,not-applicable
core.Capability.identity,Capability,not-applicable,not-applicable,"R01,R02,R03,R04,R05,R06,M01,M02,M06,T01,T02",core.Capability.identity,none,not-applicable,identity=capability_id; opaque ids in the instance,wfh-008 alphabet R + M01 as parsed + T01/T02 (ledgered transitive),none - no instance,see instance + wfh-008-validate.py output,specified-not-enforced,n/a,not-applicable,not-applicable,not-applicable,not-applicable,not-applicable,not-applicable,not-applicable,not-applicable,not-applicable,not-applicable,not-applicable,not-applicable
core.Capability.form,Capability,not-applicable,not-applicable,"R01,R02,R03,R04,R05,R06,M01,M02,M06,T01,T02",core.Capability.form,none,not-applicable,form=entity,wfh-008 alphabet R + M01 as parsed + T01/T02 (ledgered transitive),none - no instance,see instance + wfh-008-validate.py output,not-applicable,S3: form is undocumented in notation,not-applicable,not-applicable,not-applicable,not-applicable,not-applicable,not-applicable,not-applicable,not-applicable,not-applicable,not-applicable,not-applicable,not-applicable
core.Capability.status,Capability,not-applicable,not-applicable,"R01,R02,R03,R04,R05,R06,M01,M02,M06,T01,T02",core.Capability.status,none,not-applicable,"model status=RESOLVED; consumed as test input, not as permission to fill holes",wfh-008 alphabet R + M01 as parsed + T01/T02 (ledgered transitive),none - no instance,see instance + wfh-008-validate.py output,not-applicable,n/a,not-applicable,not-applicable,not-applicable,not-applicable,not-applicable,not-applicable,not-applicable,not-applicable,not-applicable,not-applicable,not-applicable,not-applicable
core.Capability.invariants,Capability,not-applicable,not-applicable,"R01,R02,R03,R04,R05,R06,M01,M02,M06,T01,T02",core.Capability.invariants,none,not-applicable,"cites ['I9', 'I13', 'I14']",wfh-008 alphabet R + M01 as parsed + T01/T02 (ledgered transitive),none - no instance,see instance + wfh-008-validate.py output,see the invariant rows,n/a,not-applicable,not-applicable,not-applicable,not-applicable,not-applicable,not-applicable,not-applicable,not-applicable,not-applicable,not-applicable,not-applicable,not-applicable
core.Capability.fields.name,Capability,not-applicable,PR-CAPABILITY-ABSENT,"R01,R02,R03,R04,R05,R06,M01,M02,M06,T01,T02",core.Capability.fields.name,none,not-applicable,no Capability instance in this case,wfh-008 alphabet R + M01 as parsed + T01/T02 (ledgered transitive),none - no instance,see instance + wfh-008-validate.py output,not-applicable,missing-history,historical-evidence-gap; model-defect,"R01 states the capability target is 'proposed jurati-arch-002 - no Unimatrix capability id'. V5's Capability requires name, observable_behavior, scope_ref, done_when and grade. The alphabet supplies none of observable_behavior or done_when, and inventing them is forbidden. Capability also has no lifecycle_state field (Goal, Actor and Record all do) and no admissible 'proposed / not yet specified' state, so a Goal may name a capability target that the model cannot represent at all.","NOT REPRESENTABLE: zero Capability instances. I9, I13, I14, capability_classification, Capability.composed_of/prerequisite_of/delivered_by/enabled_by, Unit.delivers, Technology.enables and Goal.claim_floor are all VACUOUS in this case.",not-proposed,the only reason to invent an observable_behavior and a done_when here is to make V5 pass - the circular candidate the amendment forbids; see CF-REJECTED,not-applicable,not-applicable,not-applicable,no,not-applicable,not-applicable,"whether V5 needs a proposed/unspecified Capability state, or whether the project is right that a capability id is created only when a behavior is identified, is not decidable from one case"
core.Capability.fields.observable_behavior,Capability,not-applicable,PR-CAPABILITY-ABSENT,"R01,R02,R03,R04,R05,R06,M01,M02,M06,T01,T02",core.Capability.fields.observable_behavior,none,not-applicable,no Capability instance in this case,wfh-008 alphabet R + M01 as parsed + T01/T02 (ledgered transitive),none - no instance,see instance + wfh-008-validate.py output,not-applicable,missing-history,historical-evidence-gap; model-defect,"R01 states the capability target is 'proposed jurati-arch-002 - no Unimatrix capability id'. V5's Capability requires name, observable_behavior, scope_ref, done_when and grade. The alphabet supplies none of observable_behavior or done_when, and inventing them is forbidden. Capability also has no lifecycle_state field (Goal, Actor and Record all do) and no admissible 'proposed / not yet specified' state, so a Goal may name a capability target that the model cannot represent at all.","NOT REPRESENTABLE: zero Capability instances. I9, I13, I14, capability_classification, Capability.composed_of/prerequisite_of/delivered_by/enabled_by, Unit.delivers, Technology.enables and Goal.claim_floor are all VACUOUS in this case.",not-proposed,the only reason to invent an observable_behavior and a done_when here is to make V5 pass - the circular candidate the amendment forbids; see CF-REJECTED,not-applicable,not-applicable,not-applicable,no,not-applicable,not-applicable,"whether V5 needs a proposed/unspecified Capability state, or whether the project is right that a capability id is created only when a behavior is identified, is not decidable from one case"
core.Capability.fields.scope_ref,Capability,not-applicable,PR-CAPABILITY-ABSENT,"R01,R02,R03,R04,R05,R06,M01,M02,M06,T01,T02",core.Capability.fields.scope_ref,none,not-applicable,no Capability instance in this case,wfh-008 alphabet R + M01 as parsed + T01/T02 (ledgered transitive),none - no instance,see instance + wfh-008-validate.py output,not-applicable,missing-history,historical-evidence-gap; model-defect,"R01 states the capability target is 'proposed jurati-arch-002 - no Unimatrix capability id'. V5's Capability requires name, observable_behavior, scope_ref, done_when and grade. The alphabet supplies none of observable_behavior or done_when, and inventing them is forbidden. Capability also has no lifecycle_state field (Goal, Actor and Record all do) and no admissible 'proposed / not yet specified' state, so a Goal may name a capability target that the model cannot represent at all.","NOT REPRESENTABLE: zero Capability instances. I9, I13, I14, capability_classification, Capability.composed_of/prerequisite_of/delivered_by/enabled_by, Unit.delivers, Technology.enables and Goal.claim_floor are all VACUOUS in this case.",not-proposed,the only reason to invent an observable_behavior and a done_when here is to make V5 pass - the circular candidate the amendment forbids; see CF-REJECTED,not-applicable,not-applicable,not-applicable,no,not-applicable,not-applicable,"whether V5 needs a proposed/unspecified Capability state, or whether the project is right that a capability id is created only when a behavior is identified, is not decidable from one case"
core.Capability.fields.classification_refs,Capability,not-applicable,PR-CAPABILITY-ABSENT,"R01,R02,R03,R04,R05,R06,M01,M02,M06,T01,T02",core.Capability.fields.classification_refs,none,not-applicable,no Capability instance in this case,wfh-008 alphabet R + M01 as parsed + T01/T02 (ledgered transitive),none - no instance,see instance + wfh-008-validate.py output,not-applicable,missing-history,historical-evidence-gap; model-defect,"R01 states the capability target is 'proposed jurati-arch-002 - no Unimatrix capability id'. V5's Capability requires name, observable_behavior, scope_ref, done_when and grade. The alphabet supplies none of observable_behavior or done_when, and inventing them is forbidden. Capability also has no lifecycle_state field (Goal, Actor and Record all do) and no admissible 'proposed / not yet specified' state, so a Goal may name a capability target that the model cannot represent at all.","NOT REPRESENTABLE: zero Capability instances. I9, I13, I14, capability_classification, Capability.composed_of/prerequisite_of/delivered_by/enabled_by, Unit.delivers, Technology.enables and Goal.claim_floor are all VACUOUS in this case.",not-proposed,the only reason to invent an observable_behavior and a done_when here is to make V5 pass - the circular candidate the amendment forbids; see CF-REJECTED,not-applicable,not-applicable,not-applicable,no,not-applicable,not-applicable,"whether V5 needs a proposed/unspecified Capability state, or whether the project is right that a capability id is created only when a behavior is identified, is not decidable from one case"
core.Capability.fields.done_when,Capability,not-applicable,PR-CAPABILITY-ABSENT,"R01,R02,R03,R04,R05,R06,M01,M02,M06,T01,T02",core.Capability.fields.done_when,none,not-applicable,no Capability instance in this case,wfh-008 alphabet R + M01 as parsed + T01/T02 (ledgered transitive),none - no instance,see instance + wfh-008-validate.py output,not-applicable,missing-history,historical-evidence-gap; model-defect,"R01 states the capability target is 'proposed jurati-arch-002 - no Unimatrix capability id'. V5's Capability requires name, observable_behavior, scope_ref, done_when and grade. The alphabet supplies none of observable_behavior or done_when, and inventing them is forbidden. Capability also has no lifecycle_state field (Goal, Actor and Record all do) and no admissible 'proposed / not yet specified' state, so a Goal may name a capability target that the model cannot represent at all.","NOT REPRESENTABLE: zero Capability instances. I9, I13, I14, capability_classification, Capability.composed_of/prerequisite_of/delivered_by/enabled_by, Unit.delivers, Technology.enables and Goal.claim_floor are all VACUOUS in this case.",not-proposed,the only reason to invent an observable_behavior and a done_when here is to make V5 pass - the circular candidate the amendment forbids; see CF-REJECTED,not-applicable,not-applicable,not-applicable,no,not-applicable,not-applicable,"whether V5 needs a proposed/unspecified Capability state, or whether the project is right that a capability id is created only when a behavior is identified, is not decidable from one case"
core.Capability.fields.grade,Capability,not-applicable,PR-CAPABILITY-ABSENT,"R01,R02,R03,R04,R05,R06,M01,M02,M06,T01,T02",core.Capability.fields.grade,none,not-applicable,no Capability instance in this case,wfh-008 alphabet R + M01 as parsed + T01/T02 (ledgered transitive),none - no instance,see instance + wfh-008-validate.py output,not-applicable,missing-history,historical-evidence-gap; model-defect,"R01 states the capability target is 'proposed jurati-arch-002 - no Unimatrix capability id'. V5's Capability requires name, observable_behavior, scope_ref, done_when and grade. The alphabet supplies none of observable_behavior or done_when, and inventing them is forbidden. Capability also has no lifecycle_state field (Goal, Actor and Record all do) and no admissible 'proposed / not yet specified' state, so a Goal may name a capability target that the model cannot represent at all.","NOT REPRESENTABLE: zero Capability instances. I9, I13, I14, capability_classification, Capability.composed_of/prerequisite_of/delivered_by/enabled_by, Unit.delivers, Technology.enables and Goal.claim_floor are all VACUOUS in this case.",not-proposed,the only reason to invent an observable_behavior and a done_when here is to make V5 pass - the circular candidate the amendment forbids; see CF-REJECTED,not-applicable,not-applicable,not-applicable,no,not-applicable,not-applicable,"whether V5 needs a proposed/unspecified Capability state, or whether the project is right that a capability id is created only when a behavior is identified, is not decidable from one case"
