traversal_id,question,method,declared_path,result,status,note,cost
T-05,Actor SYN-AC-CUSTODIAN -> participated Attempts,declared relations only (standing grant path),Actor.holds_role -> Role.receives -> Delegation.governs -> Attempt,(none),partial-proxy,reaches only Attempts governed by the Actor's standing Delegations,O(|roles|x|receives|)
T-06,Actor SYN-AC-CUSTODIAN -> participated Attempts,declared relations only (union of T-04 and T-05),Actor.receives U (Actor.holds_role -> Role.receives) -> Delegation.governs,(none),equivalent-on-this-instance,unreachable participation [] (participants named in Attempt.actors who are not the grantee of a governing Delegation — M01 states no invariant tying Attempt.actors to governed_by); over-reach [] (co-governed Attempts the Actor did not participate in),O(|receives|+|roles|)
T-03,Actor SYN-AC-AGENT -> participated Attempts,implementation index over Attempt.actors (built by full scan),Attempt.actors (one-way; A3 withdrawn in M02 s7),SYN-AT-1,demonstrated-by-index,"M01 declares no index and no Scope bound; Actor carries no scope_ref, so the scan cannot even be narrowed by Scope",O(|Attempt|)=2 full scan
T-04,Actor SYN-AC-AGENT -> participated Attempts,declared relations only (dynamic grant path),Actor.receives -> Delegation.governs -> Attempt,SYN-AT-1,partial-proxy,reaches only Attempts governed by a Delegation this Actor personally received,O(|receives|)
T-05,Actor SYN-AC-AGENT -> participated Attempts,declared relations only (standing grant path),Actor.holds_role -> Role.receives -> Delegation.governs -> Attempt,(none),partial-proxy,reaches only Attempts governed by the Actor's standing Delegations,O(|roles|x|receives|)
T-06,Actor SYN-AC-AGENT -> participated Attempts,declared relations only (union of T-04 and T-05),Actor.receives U (Actor.holds_role -> Role.receives) -> Delegation.governs,SYN-AT-1,equivalent-on-this-instance,unreachable participation [] (participants named in Attempt.actors who are not the grantee of a governing Delegation — M01 states no invariant tying Attempt.actors to governed_by); over-reach [] (co-governed Attempts the Actor did not participate in),O(|receives|+|roles|)
T-03,Actor SYN-AC-REVIEWER -> participated Attempts,implementation index over Attempt.actors (built by full scan),Attempt.actors (one-way; A3 withdrawn in M02 s7),SYN-AT-1,demonstrated-by-index,"M01 declares no index and no Scope bound; Actor carries no scope_ref, so the scan cannot even be narrowed by Scope",O(|Attempt|)=2 full scan
T-04,Actor SYN-AC-REVIEWER -> participated Attempts,declared relations only (dynamic grant path),Actor.receives -> Delegation.governs -> Attempt,(none),partial-proxy,reaches only Attempts governed by a Delegation this Actor personally received,O(|receives|)
T-05,Actor SYN-AC-REVIEWER -> participated Attempts,declared relations only (standing grant path),Actor.holds_role -> Role.receives -> Delegation.governs -> Attempt,(none),partial-proxy,reaches only Attempts governed by the Actor's standing Delegations,O(|roles|x|receives|)
T-06,Actor SYN-AC-REVIEWER -> participated Attempts,declared relations only (union of T-04 and T-05),Actor.receives U (Actor.holds_role -> Role.receives) -> Delegation.governs,(none),partial-proxy,unreachable participation ['SYN-AT-1'] (participants named in Attempt.actors who are not the grantee of a governing Delegation — M01 states no invariant tying Attempt.actors to governed_by); over-reach [] (co-governed Attempts the Actor did not participate in),O(|receives|+|roles|)
T-03,Actor SYN-AC-LEAD -> participated Attempts,implementation index over Attempt.actors (built by full scan),Attempt.actors (one-way; A3 withdrawn in M02 s7),SYN-AT-2,demonstrated-by-index,"M01 declares no index and no Scope bound; Actor carries no scope_ref, so the scan cannot even be narrowed by Scope",O(|Attempt|)=2 full scan
T-04,Actor SYN-AC-LEAD -> participated Attempts,declared relations only (dynamic grant path),Actor.receives -> Delegation.governs -> Attempt,(none),partial-proxy,reaches only Attempts governed by a Delegation this Actor personally received,O(|receives|)
T-05,Actor SYN-AC-LEAD -> participated Attempts,declared relations only (standing grant path),Actor.holds_role -> Role.receives -> Delegation.governs -> Attempt,SYN-AT-2,partial-proxy,reaches only Attempts governed by the Actor's standing Delegations,O(|roles|x|receives|)
T-06,Actor SYN-AC-LEAD -> participated Attempts,declared relations only (union of T-04 and T-05),Actor.receives U (Actor.holds_role -> Role.receives) -> Delegation.governs,SYN-AT-2,equivalent-on-this-instance,unreachable participation [] (participants named in Attempt.actors who are not the grantee of a governing Delegation — M01 states no invariant tying Attempt.actors to governed_by); over-reach [] (co-governed Attempts the Actor did not participate in),O(|receives|+|roles|)
T-03,Actor SYN-AC-INSTRUMENT -> participated Attempts,implementation index over Attempt.actors (built by full scan),Attempt.actors (one-way; A3 withdrawn in M02 s7),(none),demonstrated-by-index,"M01 declares no index and no Scope bound; Actor carries no scope_ref, so the scan cannot even be narrowed by Scope",O(|Attempt|)=2 full scan
T-04,Actor SYN-AC-INSTRUMENT -> participated Attempts,declared relations only (dynamic grant path),Actor.receives -> Delegation.governs -> Attempt,(none),partial-proxy,reaches only Attempts governed by a Delegation this Actor personally received,O(|receives|)
T-05,Actor SYN-AC-INSTRUMENT -> participated Attempts,declared relations only (standing grant path),Actor.holds_role -> Role.receives -> Delegation.governs -> Attempt,(none),partial-proxy,reaches only Attempts governed by the Actor's standing Delegations,O(|roles|x|receives|)
T-06,Actor SYN-AC-INSTRUMENT -> participated Attempts,declared relations only (union of T-04 and T-05),Actor.receives U (Actor.holds_role -> Role.receives) -> Delegation.governs,(none),equivalent-on-this-instance,unreachable participation [] (participants named in Attempt.actors who are not the grantee of a governing Delegation — M01 states no invariant tying Attempt.actors to governed_by); over-reach [] (co-governed Attempts the Actor did not participate in),O(|receives|+|roles|)
T-INV-Scope.parent,Scope.parent <-> Scope.contains,"declared inverse, traversed both directions",Scope.parent -> Scope; Scope.contains -> Scope,forward=1 backward=1,demonstrated-both-directions,,O(1) per edge
T-INV-Scope.contains,Scope.contains <-> Scope.parent,"declared inverse, traversed both directions",Scope.contains -> Scope; Scope.parent -> Scope,forward=1 backward=1,demonstrated-both-directions,,O(1) per edge
T-INV-Goal.requires,Goal.requires <-> Capability.required_by,"declared inverse, traversed both directions",Goal.requires -> Capability; Capability.required_by -> Goal,forward=3 backward=3,demonstrated-both-directions,,O(1) per edge
T-INV-Goal.is_advanced_by,Goal.is_advanced_by <-> Capability.advances,"declared inverse, traversed both directions",Goal.is_advanced_by -> Capability; Capability.advances -> Goal,forward=1 backward=1,demonstrated-both-directions,,O(1) per edge
T-INV-Goal.directs,Goal.directs <-> Unit.directed_by,"declared inverse, traversed both directions",Goal.directs -> Unit; Unit.directed_by -> Goal,forward=2 backward=2,demonstrated-both-directions,,O(1) per edge
T-INV-Capability.required_by,Capability.required_by <-> Goal.requires,"declared inverse, traversed both directions",Capability.required_by -> Goal; Goal.requires -> Capability,forward=3 backward=3,demonstrated-both-directions,,O(1) per edge
T-INV-Capability.advances,Capability.advances <-> Goal.is_advanced_by,"declared inverse, traversed both directions",Capability.advances -> Goal; Goal.is_advanced_by -> Capability,forward=1 backward=1,demonstrated-both-directions,,O(1) per edge
T-INV-Capability.delivered_by,Capability.delivered_by <-> Unit.delivers,"declared inverse, traversed both directions",Capability.delivered_by -> Unit; Unit.delivers -> Capability,forward=2 backward=2,demonstrated-both-directions,,O(1) per edge
T-INV-Capability.enabled_by,Capability.enabled_by <-> Technology.enables,"declared inverse, traversed both directions",Capability.enabled_by -> Technology; Technology.enables -> Capability,forward=1 backward=1,demonstrated-both-directions,,O(1) per edge
T-INV-Actor.has_skill,Actor.has_skill <-> Skill.held_by,"declared inverse, traversed both directions",Actor.has_skill -> Skill; Skill.held_by -> Actor,forward=2 backward=2,demonstrated-both-directions,,O(1) per edge
T-INV-Unit.directed_by,Unit.directed_by <-> Goal.directs,"declared inverse, traversed both directions",Unit.directed_by -> Goal; Goal.directs -> Unit,forward=2 backward=2,demonstrated-both-directions,,O(1) per edge
T-INV-Unit.follows,Unit.follows <-> Workflow.governs,"declared inverse, traversed both directions",Unit.follows -> Workflow; Workflow.governs -> Unit,forward=2 backward=2,demonstrated-both-directions,,O(1) per edge
T-INV-Unit.attempts,Unit.attempts <-> Attempt.unit,"declared inverse, traversed both directions",Unit.attempts -> Attempt; Attempt.unit -> Unit,forward=2 backward=2,demonstrated-both-directions,,O(1) per edge
T-INV-Unit.assigned_through,Unit.assigned_through <-> Delegation.unit,"declared inverse, traversed both directions",Unit.assigned_through -> Delegation; Delegation.unit -> Unit,forward=1 backward=1,demonstrated-both-directions,,O(1) per edge
T-INV-Unit.gated_by,Unit.gated_by <-> Gate.evaluates,"declared inverse, traversed both directions",Unit.gated_by -> Gate; Gate.evaluates -> Unit,forward=1 backward=1,demonstrated-both-directions,,O(1) per edge
T-INV-Unit.delivers,Unit.delivers <-> Capability.delivered_by,"declared inverse, traversed both directions",Unit.delivers -> Capability; Capability.delivered_by -> Unit,forward=2 backward=2,demonstrated-both-directions,,O(1) per edge
T-INV-Event.documented_by,Event.documented_by <-> Record.documents,"declared inverse, traversed both directions",Event.documented_by -> Record; Record.documents -> Event,forward=1 backward=1,demonstrated-both-directions,,O(1) per edge
T-INV-Record.documents,Record.documents <-> Event.documented_by,"declared inverse, traversed both directions",Record.documents -> Event; Event.documented_by -> Record,forward=1 backward=1,demonstrated-both-directions,,O(1) per edge
T-INV-Workflow.requires,Workflow.requires <-> Skill.required_by,"declared inverse, traversed both directions",Workflow.requires -> Skill; Skill.required_by -> Workflow,forward=1 backward=1,demonstrated-both-directions,,O(1) per edge
T-INV-Workflow.binds,Workflow.binds <-> Gate.bound_by,"declared inverse, traversed both directions",Workflow.binds -> Gate; Gate.bound_by -> Workflow,forward=1 backward=1,demonstrated-both-directions,,O(1) per edge
T-INV-Workflow.governs,Workflow.governs <-> Unit.follows,"declared inverse, traversed both directions",Workflow.governs -> Unit; Unit.follows -> Workflow,forward=2 backward=2,demonstrated-both-directions,,O(1) per edge
T-INV-Skill.held_by,Skill.held_by <-> Actor.has_skill,"declared inverse, traversed both directions",Skill.held_by -> Actor; Actor.has_skill -> Skill,forward=2 backward=2,demonstrated-both-directions,,O(1) per edge
T-INV-Role.requires,Role.requires <-> Skill.required_by,"declared inverse, traversed both directions",Role.requires -> Skill; Skill.required_by -> Role,forward=1 backward=1,demonstrated-both-directions,,O(1) per edge
T-INV-Role.assigned_to,Role.assigned_to <-> Actor.holds_role,"declared inverse, traversed both directions",Role.assigned_to -> Actor; Actor.holds_role -> Role,forward=1 backward=1,demonstrated-both-directions,,O(1) per edge
T-INV-Role.receives,Role.receives <-> Delegation.grantee,"declared inverse, traversed both directions",Role.receives -> Delegation; Delegation.grantee -> Role,forward=1 backward=1,demonstrated-both-directions,,O(1) per edge
T-INV-Delegation.unit,Delegation.unit <-> Unit.assigned_through,"declared inverse, traversed both directions",Delegation.unit -> Unit; Unit.assigned_through -> Delegation,forward=1 backward=1,demonstrated-both-directions,,O(1) per edge
T-INV-Delegation.governs,Delegation.governs <-> Attempt.governed_by,"declared inverse, traversed both directions",Delegation.governs -> Attempt; Attempt.governed_by -> Delegation,forward=2 backward=2,demonstrated-both-directions,,O(1) per edge
T-INV-Delegation.enforced_by,Delegation.enforced_by <-> EffectBoundary.enforces,"declared inverse, traversed both directions",Delegation.enforced_by -> EffectBoundary; EffectBoundary.enforces -> Delegation,forward=2 backward=2,demonstrated-both-directions,,O(1) per edge
T-INV-Gate.bound_by,Gate.bound_by <-> Workflow.binds,"declared inverse, traversed both directions",Gate.bound_by -> Workflow; Workflow.binds -> Gate,forward=1 backward=1,demonstrated-both-directions,,O(1) per edge
T-INV-Gate.evaluates,Gate.evaluates <-> Unit.gated_by,"declared inverse, traversed both directions",Gate.evaluates -> Unit; Unit.gated_by -> Gate [QUALIFIED inverse name — S2],forward=1 backward=1,demonstrated-both-directions,qualified dotted inverse name requires a resolver special case (S2),O(1) per edge
T-INV-EffectBoundary.enforces,EffectBoundary.enforces <-> Delegation.enforced_by,"declared inverse, traversed both directions",EffectBoundary.enforces -> Delegation; Delegation.enforced_by -> EffectBoundary,forward=2 backward=2,demonstrated-both-directions,,O(1) per edge
T-INV-Attempt.unit,Attempt.unit <-> Unit.attempts,"declared inverse, traversed both directions",Attempt.unit -> Unit; Unit.attempts -> Attempt,forward=2 backward=2,demonstrated-both-directions,,O(1) per edge
T-INV-Attempt.governed_by,Attempt.governed_by <-> Delegation.governs,"declared inverse, traversed both directions",Attempt.governed_by -> Delegation; Delegation.governs -> Attempt,forward=2 backward=2,demonstrated-both-directions,,O(1) per edge
T-INV-Technology.enables,Technology.enables <-> Capability.enabled_by,"declared inverse, traversed both directions",Technology.enables -> Capability; Capability.enabled_by -> Technology,forward=1 backward=1,demonstrated-both-directions,,O(1) per edge
T-07,Delegation SYN-DL-STANDING -> Scope authority root,declared relations only,Delegation.derived_from* -> Delegation.grantor,SYN-DL-STANDING ; grantor=['SYN-AC-OWNER'],demonstrated,I17 chain clause is traversable; the attenuation clause is not comparable on autonomy_tier (M01 declares no order over A0..A5) or resource_ceiling (opaque map),O(chain depth)
T-07,Delegation SYN-DL-DYN -> Scope authority root,declared relations only,Delegation.derived_from* -> Delegation.grantor,SYN-DL-DYN -> SYN-DL-STANDING ; grantor=['SYN-AC-OWNER'],demonstrated,I17 chain clause is traversable; the attenuation clause is not comparable on autonomy_tier (M01 declares no order over A0..A5) or resource_ceiling (opaque map),O(chain depth)
T-08,Delegation SYN-DL-STANDING -> independent EffectBoundary disposition,declared relation + untyped Event.extension map traversal,Delegation.enforced_by -> EffectBoundary ; effect_disposition.extension.request_ref -> effect_request.extension.delegation_ref,boundaries=['SYN-EB-FORGE'] dispositions=[],partial-proxy,"the request/disposition/delegation linkage lives inside Event.extension (type: map, opaque) and Event.subject_refs (type: bare list, untyped). M01 declares NO relation from Event to Delegation, EffectBoundary, Gate or Unit, so this traversal is by convention, not by the model.",O(|Event|) full scan
T-08,Delegation SYN-DL-DYN -> independent EffectBoundary disposition,declared relation + untyped Event.extension map traversal,Delegation.enforced_by -> EffectBoundary ; effect_disposition.extension.request_ref -> effect_request.extension.delegation_ref,boundaries=['SYN-EB-FORGE'] dispositions=['SYN-EV-7'],partial-proxy,"the request/disposition/delegation linkage lives inside Event.extension (type: map, opaque) and Event.subject_refs (type: bare list, untyped). M01 declares NO relation from Event to Delegation, EffectBoundary, Gate or Unit, so this traversal is by convention, not by the model.",O(|Event|) full scan
T-09,Gate SYN-GT-1 -> assessments -> gate outcomes,untyped Event.extension map traversal,Gate <- assessment.extension.gate_version_ref ; gate_outcome.extension.assessment_ref,assessments=['SYN-EV-3'] outcomes=['SYN-EV-4'],partial-proxy,"gate_version_ref names a Gate VERSION, but no construct in M01 declares a version field; the reference has no typed carrier to resolve against",O(|Event|) full scan
