fixture_id,x_item,model_path,mutation,violated_rule,expected_rejection_point,expected_check_kind,mechanizability,actual_result,checker_output,illustrative_output,operationalization,evidence_path,note
F-A11,values.currentness,core.Record.fields.currentness,"set currentness to ""fresh""","ref<value.currentness> = [current, superseded, stale, unknown]",CK-VALUE-REF,mechanical,determined-by-M01,rejected-mechanically,"[CK-VALUE-REF] Record/SYN-RC-1.currentness: 'fresh' not in value.currentness ['current', 'stale', 'superseded', 'unknown']",,none,artifacts/rejection-results.csv,
F-A12,values.autonomy_tier,supporting.Delegation.fields.autonomy_tier,"set autonomy_tier to ""A6""",ref<value.autonomy_tier> = A0..A5,CK-VALUE-REF,mechanical,determined-by-M01,rejected-mechanically,"[CK-VALUE-REF] Delegation/SYN-DL-DYN.autonomy_tier: 'A6' not in value.autonomy_tier ['A0', 'A1', 'A2', 'A3', 'A4', 'A5']",,none,artifacts/rejection-results.csv,
F-A13,values.epistemic_kind rule (A8 orthogonality) + excluded 'Decision as construct',core.Record.fields.epistemic_kind,"set epistemic_kind to ""decision""","epistemic_kind.rule — decision is an Event type, never an epistemic kind",CK-VALUE-REF,mechanical,determined-by-M01,rejected-mechanically,"[CK-VALUE-REF] Record/SYN-RC-1.epistemic_kind: 'decision' not in value.epistemic_kind ['claim', 'inference', 'mechanical-observation', 'reported-observation', 'reviewed-finding']",,none,artifacts/rejection-results.csv,"the A8 orthogonality rule survives here only because the vocabulary is a closed enumeration referenced by a typed field; the rest of the rule (independence from Event type, significance, authority, carrier) is prose and untested by this fixture"
F-A14,values.carrier,core.Event.fields.carrier,"set carrier to ""email""","ref<value.carrier> = [inline, record-ref, artifact-ref]",CK-VALUE-REF,mechanical,determined-by-M01,rejected-mechanically,"[CK-VALUE-REF] Event/SYN-EV-1.carrier: 'email' not in value.carrier ['artifact-ref', 'inline', 'record-ref']",,none,artifacts/rejection-results.csv,
F-A15,values.effect_disposition + its explicit rule,registries.event_type.seeded.effect_disposition.required_extension.disposition,"set the effect_disposition Event's extension.disposition to ""maybe""","values.effect_disposition.rule — effect_disposition Events use this common vocabulary [performed, refused, unknown]","none — the value lives inside Event.extension (type: map), which no declared type constrains",judgment,not-mechanizable,accepted-defect,ACCEPTED,,none,artifacts/rejection-results.csv,"ADVERSE. The rule is stated explicitly and in full, and the model still provides no typed carrier for the value it governs. Common refusal vocabulary is unreachable by a checker."
F-A16,values.coupling,values.coupling,"set the effect_disposition Event's extension.coupling to ""eventual""","values.coupling = [atomic, ordered-best-effort, reported, unknown]",none — no field anywhere in M01 is typed ref<value.coupling>,judgment,not-mechanizable,accepted-defect,ACCEPTED,,none,artifacts/rejection-results.csv,ADVERSE. `coupling` is a declared value vocabulary that NO field in the model references; it is reachable only as a key inside an opaque extension map.
F-A17,registries.event_type admission + excluded 'lesson as Event type',core.Event.fields.event_type,"set event_type to the unregistered key ""lesson""",ref<registry.event_type>; excluded — lesson as Event type,CK-REGISTRY-REF,mechanical,determined-by-M01,rejected-mechanically,"[CK-REGISTRY-REF] Event/SYN-EV-9.event_type: 'lesson' not a registered event_type key (seeded+registered: ['adaptation', 'assessment', 'communication', 'decision', 'effect_disposition', 'effect_request', 'gate_outcome', 'observation', 'transition'])",,none,artifacts/rejection-results.csv,
F-A18,registries.unit_kind,core.Unit.fields.unit_kind,"set unit_kind to the unregistered key ""feature""",ref<registry.unit_kind>,CK-REGISTRY-REF,mechanical,determined-by-M01,rejected-mechanically,"[CK-REGISTRY-REF] Unit/SYN-UN-2.unit_kind: 'feature' not a registered unit_kind key (seeded+registered: ['change', 'investigation'])",,none,artifacts/rejection-results.csv,
F-A19,registries.capability_classification + excluded 'organizational-level Capability kinds',core.Capability.fields.classification_refs,"append the unregistered classification ""organizational-level""",list<ref<registry.capability_classification>>; excluded — organizational-level Capability kinds,CK-REGISTRY-REF,mechanical,determined-by-M01,rejected-mechanically,"[CK-REGISTRY-REF] Capability/SYN-CP-1.classification_refs: 'organizational-level' not a registered capability_classification key (seeded+registered: ['curve', 'functional', 'nonfunctional', 'threshold'])",,none,artifacts/rejection-results.csv,
F-A20,registries.record_category,core.Record.fields.category,"set category to the unregistered key ""lesson-learned""",ref<registry.record_category>,CK-REGISTRY-REF,mechanical,determined-by-M01,rejected-mechanically,"[CK-REGISTRY-REF] Record/SYN-RC-1.category: 'lesson-learned' not a registered record_category key (seeded+registered: ['finding', 'gate-report'])",,none,artifacts/rejection-results.csv,record_category is seeded EMPTY in M01; the only reason this rejects is that the baseline program registered `finding` and `gate-report` first
F-A21,registries.effect_class,supporting.Delegation.fields.effect_grants,"grant the unregistered effect class ""credential-issue""",list<ref<registry.effect_class>>,CK-REGISTRY-REF,mechanical,determined-by-M01,rejected-mechanically,[CK-REGISTRY-REF] Delegation/SYN-DL-DYN.effect_grants: 'credential-issue' not a registered effect_class key (seeded+registered: ['repository-write']); [CK-ATTENUATION-GRANTS] Delegation/SYN-DL-DYN: effect_grants ['credential-issue'] exceed parent SYN-DL-STANDING grants ['repository-write'] — I17 (O9),[XX-REQUEST-WITHIN-GRANT] Event/SYN-EV-6: requested_effect 'repository-write' not in delegation SYN-DL-DYN effect_grants ['credential-issue'] — UNSTATED IN M01,none,artifacts/rejection-results.csv,
F-A22,supporting.Attempt.relations.actors cardinality 1..*,supporting.Attempt.relations.actors,empty the actors list,"cardinality ""1..*""",CK-CARD,mechanical,determined-by-M01,rejected-mechanically,"[CK-CARD] Attempt/SYN-AT-2.actors: 0 target(s), cardinality 1..* requires >= 1",,none,artifacts/rejection-results.csv,
F-A23,supporting.Attempt.relations.governed_by cardinality 1..*,supporting.Attempt.relations.governed_by,empty governed_by (an Attempt under no Delegation),"cardinality ""1..*""; I17 authority chain",CK-CARD,mechanical,determined-by-M01,rejected-mechanically,"[CK-CARD] Attempt/SYN-AT-2.governed_by: 0 target(s), cardinality 1..* requires >= 1",,none,artifacts/rejection-results.csv,
F-A24,core.Unit.relations.follows cardinality 1,core.Unit.relations.follows,make SYN-UN-2 follow two Workflows,"cardinality ""1""",CK-CARD,mechanical,determined-by-M01,rejected-mechanically,"[CK-CARD] Unit/SYN-UN-2.follows: 2 target(s), cardinality 1 allows <= 1; [CK-INVERSE] Unit.follows SYN-UN-2->SYN-WF-B has no inverse edge Workflow.governs; [CK-INVERSE] Unit.follows SYN-UN-2->SYN-WF-B has no forward edge Workflow.governs; [CK-UNIT-STATE] Unit/SYN-UN-2: current_state 'in-progress' not in SYN-WF-B.state_vocabulary ['scoped', 'closed'] (O5)",,none,artifacts/rejection-results.csv,
F-A25,supporting.Delegation.relations.scope cardinality 1,supporting.Delegation.relations.scope,give a Delegation two Scopes,"cardinality ""1""",CK-CARD,mechanical,determined-by-M01,rejected-mechanically,"[CK-CARD] Delegation/SYN-DL-DYN.scope: 2 target(s), cardinality 1 allows <= 1",,none,artifacts/rejection-results.csv,
F-A26,core.Unit.relations.replaces cardinality 0..1,core.Unit.relations.replaces,have one Unit replace two Units,"cardinality ""0..1""",CK-CARD,mechanical,determined-by-M01,rejected-mechanically,"[CK-CARD] Unit/SYN-UN-2.replaces: 2 target(s), cardinality 0..1 allows <= 1",,none,artifacts/rejection-results.csv,
F-A27,ref<Scope> target typing,core.Goal.fields.scope_ref,point Goal.scope_ref at an Actor,ref<Scope>,CK-REF-TARGET,mechanical,determined-by-M01,rejected-mechanically,[CK-REF-TARGET] Goal/SYN-GO-1.scope_ref: 'SYN-AC-OWNER' is not an instance of Scope,,none,artifacts/rejection-results.csv,
F-A28,excluded 'Goal as Scope'; Goal.directs rule 'never makes Goal the Unit Scope',core.Unit.fields.scope_ref,point Unit.scope_ref at a Goal,ref<Scope>; excluded — Goal as Scope,CK-REF-TARGET,mechanical,determined-by-M01,rejected-mechanically,[CK-REF-TARGET] Unit/SYN-UN-1.scope_ref: 'SYN-GO-1' is not an instance of Scope,,none,artifacts/rejection-results.csv,one of only two exclusions carried by a type rather than by the prose exclusion list
F-A29,list<ref<Record>> resolution,core.Capability.fields.evidence_record_refs,cite a Record id that does not exist,list<ref<Record>>,CK-REF-TARGET,mechanical,determined-by-M01,rejected-mechanically,[CK-REF-TARGET] Capability/SYN-CP-1.evidence_record_refs: 'SYN-RC-99' is not an instance of Record,,none,artifacts/rejection-results.csv,
F-A30,core.Event.fields.authority_ref union ref<Delegation|Scope> (R4),core.Event.fields.authority_ref,point a decision Event's authority_ref at a Role,ref<Delegation|Scope>; authority_chain principle,CK-REF-TARGET,mechanical,determined-by-M01,rejected-mechanically,[CK-REF-TARGET] Event/SYN-EV-1.authority_ref: 'SYN-RL-EXEC' is not an instance of Delegation | 'SYN-RL-EXEC' is not an instance of Scope,,none,artifacts/rejection-results.csv,confirms R4's correction has mechanical force in the FIELD; the same reference repeated inside extension.authority_ref is unchecked (see F-A15/F-A16 class)
F-A31,supporting.Delegation.relations.grantee union Role|Actor,supporting.Delegation.relations.grantee,make a Unit the grantee,"target ""Role|Actor""",CK-REF-TARGET,mechanical,determined-by-M01,rejected-mechanically,"[CK-REF-TARGET] Delegation/SYN-DL-DYN.grantee: reference 'SYN-UN-1' is ['Unit'], not ['Role', 'Actor']",,none,artifacts/rejection-results.csv,
F-A32,required list semantics,supporting.Delegation.fields.effect_grants,set effect_grants to the empty list,none stated — M01 never says whether a required list may be empty,none,judgment,not-mechanizable,not-falsifiable-from-alphabet,ACCEPTED,[XX-REQUEST-WITHIN-GRANT] Event/SYN-EV-6: requested_effect 'repository-write' not in delegation SYN-DL-DYN effect_grants [] — UNSTATED IN M01,none,artifacts/rejection-results.csv,"MODEL SILENCE. `required: true` on a list-typed field is undefined between 'key present' and 'non-empty'. Same silence applies to Goal.claim_floor, Workflow.unit_kinds, Workflow.state_vocabulary, Gate.allowed_outcomes and Gate.eligible_evidence."
F-A33,schema closure (field set),core.Goal.fields,add an undeclared field `priority` to a Goal,"construct_admission_bar + extend_by_registration, read as closure (O1)",CK-FIELD-UNKNOWN,mechanical,operationalizable(O1),rejected-mechanically,[CK-FIELD-UNKNOWN] Goal/SYN-GO-1: undeclared field 'priority' (O1),,O1 — M01 never states whether instances may carry undeclared fields. An open-world implementer would ACCEPT this.,artifacts/rejection-results.csv,"MODEL SILENCE with consequences: whether program variation must go through a registry is the load-bearing half of `agents cannot change the rules`, and closure is nowhere stated."
F-A34,schema closure (relation set),core.Goal.relations,add an undeclared relation `owned_by` to a Goal,closure (O1); inverse_relations principle,CK-REL-UNKNOWN,mechanical,operationalizable(O1),rejected-mechanically,[CK-REL-UNKNOWN] Goal/SYN-GO-1: undeclared relation 'owned_by' (O1),,O1,artifacts/rejection-results.csv,
F-C01,registries.record_category.shape,registries.record_category.shape,register a record_category missing admission_rule and correction,registry shape,CK-REGISTRY-SHAPE,mechanical,operationalizable(O4),rejected-mechanically,"[CK-REGISTRY-SHAPE] record_category.telemetry: missing shape keys ['admission_rule', 'correction']",,O4 — a registered entry must carry the declared shape keys,artifacts/rejection-results.csv,
F-C02,registries.unit_kind.shape.workflow_ref,registries.unit_kind.shape.workflow_ref,register a unit_kind whose workflow_ref names no Workflow,shape key workflow_ref: ref<Workflow>,CK-REGISTRY-SHAPE,mechanical,operationalizable(O4),rejected-mechanically,[CK-REGISTRY-SHAPE] unit_kind.poc.workflow_ref: unresolvable reference 'SYN-WF-Z',,O4,artifacts/rejection-results.csv,
F-C03,registries.effect_class.shape.receipt_requirements,registries.effect_class.shape,register an effect_class with no receipt_requirements,registry shape; EffectBoundary refusal evidence,CK-REGISTRY-SHAPE,mechanical,operationalizable(O4),rejected-mechanically,[CK-REGISTRY-SHAPE] effect_class.credential-issue: missing shape keys ['receipt_requirements'],,O4,artifacts/rejection-results.csv,
F-C04,registries.event_type.seeded.assessment.required_extension,registries.event_type.seeded.assessment.required_extension,delete independence_check from the assessment Event's extension,"required_extension [gate_version_ref, subject_baseline, evidence_set, assessor_refs, independence_check]; I7",CK-EVENT-EXT,mechanical,determined-by-M01,rejected-mechanically,[CK-EVENT-EXT] Event/SYN-EV-3 (assessment): extension missing required key 'independence_check',,none,artifacts/rejection-results.csv,"required_extension is the ONLY mechanical foothold the Event layer has — key PRESENCE is checkable, key VALUE is not (see F-A15)."
F-C05,registries.event_type program-registered required_extension,registries.event_type.admission_rule,"register an event_type `note` requiring `author`, then emit one without it",required_extension of a program-registered type,CK-EVENT-EXT,mechanical,determined-by-M01,rejected-mechanically,[CK-EVENT-EXT] Event/SYN-EV-9 (note): extension missing required key 'author',,none,artifacts/rejection-results.csv,
F-C06,registries.scope_type.admission_rule,registries.scope_type.admission_rule,register scope_type `squad` that duplicates `team` semantics,"admission_rule — add only when boundary, authority or lifecycle behavior differs",none — the admission rule is prose about semantics,judgment,not-mechanizable,specified-not-enforced,ACCEPTED,,none,artifacts/rejection-results.csv,every one of the six admission_rules is of this kind; registry extension is procedurally unguarded in the model
F-C07,registry shape closure,registries.event_type.shape,register a record_category carrying a key beyond its declared shape,none stated — M01 does not declare registry shapes closed,CK-REGISTRY-SHAPE-EXTRA (informational only),judgment,not-mechanizable,rejected-mechanically,[CK-REGISTRY-SHAPE-EXTRA] record_category.memo: keys beyond declared shape ['owner'],,none,artifacts/rejection-results.csv,"M01's OWN gate_outcome seed carries `rule`, a key absent from the event_type shape — so shape closure cannot be asserted without rejecting the model's own seed. The key that overflows the shape is precisely the R2-addition rule that binds gate-outcome vocabulary."
F-D01,"catalogs.skill {construct: Skill, scope: collective|program}",catalogs.skill,not constructible,catalogs.skill.scope,none — Skill carries no field or relation naming a catalog or a scope,judgment,not-mechanizable,not-falsifiable-from-alphabet,no fixture constructible,,none,findings-W3-rejection-suite.md,ADVERSE-ADJACENT. The three catalogs are declarations with NO instance-level attachment point. `scope:` is not documented in `notation`. open.skill_catalog is therefore not merely untested — it is unexpressible in instance data.
F-D02,catalogs.workflow {scope: program},catalogs.workflow,set SYN-WF-A.owner_scope_ref to the collective Scope,catalogs.workflow.scope: program (if read as a constraint on owner_scope_ref),none — the catalog's scope key has no declared binding to Workflow.owner_scope_ref,judgment,not-mechanizable,not-falsifiable-from-alphabet,ACCEPTED,,none,artifacts/rejection-results.csv,"Workflow is the only catalogued construct with any scope-bearing field, and even there the catalog does not say the two are the same thing."
F-D03,catalogs.gate {scope: program|workflow|record-category},catalogs.gate,not constructible,catalogs.gate.scope,none — Gate carries no scope field; only Gate.bound_by (0..1) to a Workflow,judgment,not-mechanizable,not-falsifiable-from-alphabet,no fixture constructible,,none,findings-W3-rejection-suite.md,a record-category-scoped Gate — one of the three declared catalog scopes — has no representation at all; open.gate_identity is downstream of this
F-E01,I1 clause 1 — identity distinct from name,invariants.I1,set a Scope's name equal to its own id,I1 — every durable identity is opaque and distinct from name and version,CK-I1-OPAQUE,mechanical,operationalizable(O13),rejected-mechanically,[CK-I1-OPAQUE] Scope/SYN-SC-PROG: identity equals the name field — I1,,"O13 — only the 'distinct from name' clause is decidable from a snapshot; 'opaque' is not decidable at all, and 'distinct from version' has no version field to compare",artifacts/rejection-results.csv,
F-E02,"I1 clause 2 — history is superseded, never overwritten",invariants.I1,not constructible from a single document,I1 clause 2,none — an overwrite is a difference between two states in time,judgment,not-mechanizable,not-falsifiable-from-alphabet,no fixture constructible,,none,findings-W3-rejection-suite.md,"TEMPORAL INVARIANT CLASS. I1c2, I5c1 (immutability), I15c1 and I18c2 are properties of a history of states, not of any instance. No snapshot-shaped checker can ever falsify them — which is a statement about what an implementation must add, not about V5 being wrong."
F-E03,"I2 — existence, admission, truth, grade, currentness, effect are independent facts",invariants.I2,not constructible,I2,"none — I2 constrains a MODEL's shape, not an instance's values",judgment,not-mechanizable,specified-not-enforced,no fixture constructible,,none,findings-W3-rejection-suite.md,"I2 is honoured structurally (six separate carriers exist) and is unfalsifiable by instance; its conforming witness is the baseline Record, not a counterexample."
F-E04,"I3 — Categories own schema, admission, retrieval, lifecycle, correction",core.Record.fields.category_schema_version,"set category_schema_version to ""9"", a version the registered category never declares",I3; Record.extension_owner.schema: category,none — schema_extension is type map and its interior is undefined,judgment,not-mechanizable,specified-not-enforced,ACCEPTED,,none,artifacts/rejection-results.csv,"the field exists and is required, but nothing it points at is typed, so category schema ownership is asserted and unverifiable"
F-E05,I4 clause 1 — mechanical observation requires capture provenance,registries.event_type.seeded.observation.required_extension,delete capture_custody and raw_evidence_ref from the observation Event,I4; observation required_extension,CK-EVENT-EXT,mechanical,determined-by-M01,rejected-mechanically,[CK-EVENT-EXT] Event/SYN-EV-2 (observation): extension missing required key 'capture_custody'; [CK-EVENT-EXT] Event/SYN-EV-2 (observation): extension missing required key 'raw_evidence_ref',,none,artifacts/rejection-results.csv,
F-E06,I4 clause 2 — an actor-authored account is a claim or inference,invariants.I4,"relabel a human-authored account as epistemic_kind mechanical-observation, with a human named as the instrument",I4 clause 2,"none — `instrument` is an untyped key inside Event.extension, so nothing connects it to Actor.actor_type",judgment,not-mechanizable,accepted-defect,ACCEPTED,,none,artifacts/rejection-results.csv,"ADVERSE. The claim-versus-observation firewall — review concern 4, and one of the separations `separation_is_the_product` names — has a typed vocabulary (epistemic_kind) and no typed way to contradict a false label. Every ingredient for the check exists (Actor.actor_type is an enum) and the model never joins them."
F-E07,I5 clause 2 — correction is a new Event; I1 clause 2,core.Event.relations.supersedes,make an Event supersede itself,"I5; I1 — history is superseded, never overwritten","none — acyclicity is declared for Scope.parent, Capability.composed_of and Unit.depends_on, and for NONE of the three supersedes relations",mechanical,not-mechanizable,accepted-defect,ACCEPTED,,none,artifacts/rejection-results.csv,"ADVERSE and cheap to fix: Event.supersedes, Record.supersedes and Workflow.supersedes all admit cycles, so a correction chain can close on itself and erase the history I1 protects. The model already knows how to say `acyclic` — it says it three times elsewhere."
F-E08,I6 + excluded 'a merged effect event; request and disposition remain separate',registries.event_type.admission_rule,register an event_type `effect_completed` whose required_extension spans both the effect_request and effect_disposition seeds,I6; excluded — a merged effect event,none — no rule constrains the shape of a program-registered event_type against the exclusion list,judgment,not-mechanizable,accepted-defect,ACCEPTED,,none,artifacts/rejection-results.csv,"ADVERSE. The `excluded:` block is the model's statement of what may not be reintroduced, and the registry is the door it may be reintroduced through. R2's whole argument — that merging a request with its disposition destroys absence detection — is re-openable by any program with a registry write."
F-E09,I7 — Gates fail closed when independence or evidence cannot be established,invariants.I7,"an assessment records independence_check false, and a gate_outcome still issues `pass`",I7; Gate.independence_predicate,none — independence_check is a key inside an opaque map and independence_predicate is free text,judgment,not-mechanizable,accepted-defect,ACCEPTED,,none,artifacts/rejection-results.csv,ADVERSE. Fail-closed is the invariant that makes a gate a gate. The vocabulary for the outcome IS checked (F-F02) while the precondition for issuing it is not.
F-E10,I8 clause 1 — missing evidence is explicit,registries.event_type.seeded.gate_outcome.required_extension,delete `missingness` from the gate_outcome Event,I8; gate_outcome required_extension,CK-EVENT-EXT,mechanical,determined-by-M01,rejected-mechanically,[CK-EVENT-EXT] Event/SYN-EV-4 (gate_outcome): extension missing required key 'missingness',,none,artifacts/rejection-results.csv,"I8's explicitness clause is the one firewall-adjacent rule with a genuine mechanical foothold, because R2's split put `missingness` in a required_extension"
F-E11,I8 clause 2 — missing evidence is never inferred as success,invariants.I8,declare missingness `none` while the assessment's evidence_set omits an eligible evidence kind the Gate declares,I8 clause 2,"none — Gate.eligible_evidence is a bare untyped `list` and evidence_set is a key inside an opaque map, so the two cannot be compared",judgment,not-mechanizable,accepted-defect,ACCEPTED,,none,artifacts/rejection-results.csv,
F-E12,"I9 — proven requires evidence at the claim's own altitude, demonstrated by the organization (the firewall)",invariants.I9,set Capability grade to `proven` with NO evidence_record_refs at all,I9; values.evidence_grade.rule,none — evidence_record_refs is `required: false` and no rule makes it conditional on grade,mechanical,not-mechanizable,accepted-defect,ACCEPTED,[XX-PROVEN-NEEDS-EVIDENCE] SYN-CP-1: grade=proven with empty evidence_record_refs — I9/evidence_grade.rule state the bar; UNSTATED AS A TYPED RULE,none,artifacts/rejection-results.csv,"ADVERSE — HEADLINE. The garage's load-bearing rule is stated twice in M01 (I9 and values.evidence_grade.rule), cited by Capability and Gate, and carried by no typed structure. A model-derived checker admits `grade: proven, evidence: none`. This is a missing binding, not a missing enforcement point: making it checkable needs no new construct, only a conditional requirement. The illustrative check XX-PROVEN-NEEDS-EVIDENCE shows the catch."
F-E13,I9 — altitude comparison,core.Record.fields.evidence_altitude,set Capability grade to `proven` where the only cited Record is evidence_altitude directional,I9 — evidence at the CLAIM's own altitude,"none — Record declares an evidence_altitude and Capability declares no claim altitude, so the comparison has only one typed side",mechanical,not-mechanizable,accepted-defect,ACCEPTED,,none,artifacts/rejection-results.csv,"ADVERSE — HEADLINE. Capability carries `done_when` (text) and `grade`, but no altitude. Technology likewise. The altitude half of the firewall cannot be evaluated for any claim."
F-E14,I10 — Skill represents competence and never Capability or authority,supporting.Skill.relations,give Skill a `proves` relation to a Capability,I10; Skill definition,CK-REL-UNKNOWN,mechanical,operationalizable(O1),rejected-mechanically,[CK-REL-UNKNOWN] Skill/SYN-SK-1: undeclared relation 'proves' (O1),,O1 — under closure the relation is unrepresentable; under an open-world reading it would be accepted,artifacts/rejection-results.csv,I10 holds by ABSENCE: there is no relation from Skill to Capability or to any authority construct. That is genuine structural enforcement — as long as closure holds.
F-E15,I11 — Technology neither becomes nor proves Capability; 'no grade transfer',core.Capability.relations.enabled_by.rule,"grade the Technology `proven` and grade the Capability it enables `proven`, citing only the Record that documents the Technology",I11; Capability.enabled_by rule 'no grade transfer'; Technology.enables rule,none — nothing distinguishes a Record that evidences the Capability from one that evidences the Technology; Record.provenance_refs is a bare untyped list,judgment,not-mechanizable,accepted-defect,ACCEPTED,,none,artifacts/rejection-results.csv,ADVERSE. 'no grade transfer' is stated on BOTH ends of the relation and is unreachable from either.
F-E16,supporting.Delegation.relations.enforced_by rule,supporting.Delegation.relations.enforced_by,remove the EffectBoundary from a Delegation that still carries effect_grants,"NONE — the rule says 'without a boundary authority is declared only', which makes this a legitimate, weaker instance rather than an invalid one",none expected,mechanical,determined-by-M01,negative-test,accepted (correct — negative test),,none,artifacts/rejection-results.csv,NEGATIVE TEST — the checker must NOT reject this. I12's distinction between declared and enforced authority is preserved by allowing it.
F-E17,I12 / authority_chain — an effect request outside its grant,registries.event_type.seeded.effect_request.required_extension,"register a second effect_class, then request it under a Delegation that does not grant it",authority_chain principle; I12; I17 — the request exceeds the grant,none — M01 declares Delegation.effect_grants and effect_request.requested_effect and states NO rule binding one to the other,mechanical,not-mechanizable,accepted-defect,ACCEPTED,[XX-REQUEST-WITHIN-GRANT] Event/SYN-EV-6: requested_effect 'credential-issue' not in delegation SYN-DL-DYN effect_grants ['repository-write'] — UNSTATED IN M01; [XX-BOUNDARY-CLASS] Event/SYN-EV-6: boundary SYN-EB-FORGE does not carry effect class 'credential-issue' — UNSTATED IN M01,none,artifacts/rejection-results.csv,"ADVERSE — HEADLINE. Both sides are registry-typed values, so this is the one authority check that COULD have been fully mechanical, and the rule joining them is simply absent. The illustrative check XX-REQUEST-WITHIN-GRANT demonstrates the catch a stated rule buys."
F-E18,I12 — EffectBoundary.effect_classes versus the requested effect,supporting.EffectBoundary.fields.effect_classes,direct a repository-write request at a boundary that carries no such class,I12 — only an EffectBoundary disposition demonstrates enforced authority,none — no rule binds effect_request.target_boundary_ref to EffectBoundary.effect_classes,mechanical,not-mechanizable,accepted-defect,ACCEPTED,[XX-BOUNDARY-CLASS] Event/SYN-EV-6: boundary SYN-EB-FORGE does not carry effect class 'repository-write' — UNSTATED IN M01,none,artifacts/rejection-results.csv,
F-E19,supporting.EffectBoundary.fields.can_refuse,supporting.EffectBoundary.fields.can_refuse,set can_refuse false on the boundary that two Delegations name as their enforcement,field definition — 'a boundary that cannot refuse enforces nothing'; I12,none — can_refuse is a required bool that NO rule in M01 reads,mechanical,not-mechanizable,accepted-defect,ACCEPTED,,none,artifacts/rejection-results.csv,ADVERSE. The field carries the whole meaning of enforcement and is inert: a Delegation may declare itself enforced by a boundary the model itself says enforces nothing.
