x_class,model_path,disposition,instance_ref,value_or_witness,provenance,custody,applicable_checks,enforcement_reality,open_pressure_disposition,cause_classification,classification_evidence,current_project_fit,evolution_change,independent_reason,semantic_proof_authority_custody_preservation,migration_cost,affected_artifacts,current_form_representable,evolved_form_representable,post_evolution_fit,unresolved_discriminator
core-attr,core.Scope.form,exercised,"SC-01,SC-02,SC-03",instantiated in vnc-045-instance.yaml,see instance,see instance,not-applicable,none - no common checker implements this model,not-applicable,not-applicable,not-applicable,not-applicable,not-applicable,not-applicable,not-applicable,not-applicable,not-applicable,not-applicable,not-applicable,not-applicable,not-applicable
core-attr,core.Scope.identity,exercised,"SC-01,SC-02,SC-03",instantiated in vnc-045-instance.yaml,see instance,see instance,not-applicable,none - no common checker implements this model,not-applicable,not-applicable,not-applicable,not-applicable,not-applicable,not-applicable,not-applicable,not-applicable,not-applicable,not-applicable,not-applicable,not-applicable,not-applicable
core-attr,core.Scope.versioned,exercised,"SC-01,SC-02,SC-03",instantiated in vnc-045-instance.yaml,see instance,see instance,not-applicable,none - no common checker implements this model,not-applicable,not-applicable,not-applicable,not-applicable,not-applicable,not-applicable,not-applicable,not-applicable,not-applicable,not-applicable,not-applicable,not-applicable,not-applicable
core-attr,core.Scope.definition,exercised,"SC-01,SC-02,SC-03",instantiated in vnc-045-instance.yaml,see instance,see instance,not-applicable,none - no common checker implements this model,not-applicable,not-applicable,not-applicable,not-applicable,not-applicable,not-applicable,not-applicable,not-applicable,not-applicable,not-applicable,not-applicable,not-applicable,not-applicable
core-field,core.Scope.fields.scope_type,exercised,"SC-01,SC-02,SC-03","MEASURED 3/3 Scope objects populate `scope_type` (SC-01, SC-02, SC-03). Prior boilerplate witness replaced by the measurement.",measured-join (vnc-045-instance.yaml),see instance,not-applicable,none - no common checker implements this model,not-applicable,not-applicable,not-applicable,not-applicable,not-applicable,not-applicable,not-applicable,not-applicable,not-applicable,not-applicable,not-applicable,not-applicable,not-applicable
core-field,core.Scope.fields.name,exercised,"SC-01,SC-02,SC-03","MEASURED 3/3 Scope objects populate `name` (SC-01, SC-02, SC-03). Prior boilerplate witness replaced by the measurement.",measured-join (vnc-045-instance.yaml),see instance,not-applicable,none - no common checker implements this model,not-applicable,not-applicable,not-applicable,not-applicable,not-applicable,not-applicable,not-applicable,not-applicable,not-applicable,not-applicable,not-applicable,not-applicable,not-applicable
core-field,core.Scope.fields.objective,exercised,SC-03,'Ship the context_tag MECHANISM only; protected_tags deferred in full.' · MEASURED 3/3 Scope objects populate `objective`.,repo-artifact,see instance,not-applicable,none - no common checker implements this model,not-applicable,not-applicable,not-applicable,not-applicable,not-applicable,not-applicable,not-applicable,not-applicable,not-applicable,not-applicable,not-applicable,not-applicable,not-applicable
core-field,core.Scope.fields.authority_root_ref,exercised,"SC-01,SC-02,SC-03","MEASURED 3/3 Scope objects populate `authority_root_ref` (SC-01, SC-02, SC-03). Prior boilerplate witness replaced by the measurement.",measured-join (vnc-045-instance.yaml),see instance,not-applicable,none - no common checker implements this model,not-applicable,not-applicable,not-applicable,not-applicable,not-applicable,not-applicable,not-applicable,not-applicable,not-applicable,not-applicable,not-applicable,not-applicable,not-applicable
core-field,core.Scope.fields.effective_at,construct-pressure,"SC-01,SC-02",SC-03 = 2026-07-06T23:44:12Z (forge). SC-01 and SC-02 = missing-history: nothing in the alphabet dates the collective or the program.,forge/missing,see instance,not-applicable,none - no common checker implements this model,not-applicable,historical-evidence-gap,The alphabet is vnc-045-scoped; no artefact dates the enclosing scopes.,represented-with-gap,not-applicable,not-applicable,not-applicable,not-applicable,not-applicable,true,not-applicable,not-applicable,not-applicable
core-field,core.Scope.fields.expires_at,exercised,SC-03,"2026-07-07T11:29:09Z (issue #928 closed, state_reason completed) · MEASURED 1/3 Scope objects populate `expires_at`.",forge,GitHub,not-applicable,none - no common checker implements this model,not-applicable,not-applicable,not-applicable,not-applicable,not-applicable,not-applicable,not-applicable,not-applicable,not-applicable,not-applicable,not-applicable,not-applicable,not-applicable
core-relation,core.Scope.relations.parent,exercised,"SC-01,SC-02,SC-03","MEASURED 2/3 Scope objects populate `parent` (SC-02, SC-03). Prior boilerplate witness replaced by the measurement.",measured-join (vnc-045-instance.yaml),see instance,not-applicable,none - no common checker implements this model,not-applicable,not-applicable,not-applicable,not-applicable,not-applicable,not-applicable,not-applicable,not-applicable,not-applicable,not-applicable,not-applicable,not-applicable,not-applicable
core-relation-cardinality,core.Scope.relations.parent.cardinality,exercised,"SC-01,SC-02,SC-03",instantiated in vnc-045-instance.yaml,see instance,see instance,not-applicable,none - no common checker implements this model,not-applicable,not-applicable,not-applicable,not-applicable,not-applicable,not-applicable,not-applicable,not-applicable,not-applicable,not-applicable,not-applicable,not-applicable,not-applicable
core-relation-inverse,core.Scope.relations.parent.inverse,exercised,"SC-01,SC-02,SC-03",instantiated in vnc-045-instance.yaml,see instance,see instance,not-applicable,none - no common checker implements this model,not-applicable,not-applicable,not-applicable,not-applicable,not-applicable,not-applicable,not-applicable,not-applicable,not-applicable,not-applicable,not-applicable,not-applicable,not-applicable
core-relation-rule,core.Scope.relations.parent.rule,exercised,"SC-01,SC-02,SC-03",instantiated in vnc-045-instance.yaml,see instance,see instance,not-applicable,none - no common checker implements this model,not-applicable,not-applicable,not-applicable,not-applicable,not-applicable,not-applicable,not-applicable,not-applicable,not-applicable,not-applicable,not-applicable,not-applicable,not-applicable
core-relation,core.Scope.relations.contains,exercised,SC-01>SC-02>SC-03,"Three-level chain, acyclic within one baseline. · MEASURED 2/3 Scope objects populate `contains`.",inference,see instance,not-applicable,none - no common checker implements this model,not-applicable,not-applicable,not-applicable,not-applicable,not-applicable,not-applicable,not-applicable,not-applicable,not-applicable,not-applicable,not-applicable,not-applicable,not-applicable
core-relation-cardinality,core.Scope.relations.contains.cardinality,exercised,"SC-01,SC-02,SC-03",instantiated in vnc-045-instance.yaml,see instance,see instance,not-applicable,none - no common checker implements this model,not-applicable,not-applicable,not-applicable,not-applicable,not-applicable,not-applicable,not-applicable,not-applicable,not-applicable,not-applicable,not-applicable,not-applicable,not-applicable
core-relation-inverse,core.Scope.relations.contains.inverse,exercised,"SC-01,SC-02,SC-03",instantiated in vnc-045-instance.yaml,see instance,see instance,not-applicable,none - no common checker implements this model,not-applicable,not-applicable,not-applicable,not-applicable,not-applicable,not-applicable,not-applicable,not-applicable,not-applicable,not-applicable,not-applicable,not-applicable,not-applicable
core-invariant-binding,core.Scope.invariants.I1,exercised,"SC-01,SC-02,SC-03",instantiated in vnc-045-instance.yaml,see instance,see instance,not-applicable,none - no common checker implements this model,not-applicable,not-applicable,not-applicable,not-applicable,not-applicable,not-applicable,not-applicable,not-applicable,not-applicable,not-applicable,not-applicable,not-applicable,not-applicable
core-invariant-binding,core.Scope.invariants.I17,exercised,"SC-01,SC-02,SC-03",instantiated in vnc-045-instance.yaml,see instance,see instance,not-applicable,none - no common checker implements this model,not-applicable,not-applicable,not-applicable,not-applicable,not-applicable,not-applicable,not-applicable,not-applicable,not-applicable,not-applicable,not-applicable,not-applicable,not-applicable
core-open,core.Scope.open[0]:type-specific constraints,exercised,"SC-01,SC-02,SC-03",instantiated in vnc-045-instance.yaml,see instance,see instance,not-applicable,none - no common checker implements this model,not-applicable,not-applicable,not-applicable,not-applicable,not-applicable,not-applicable,not-applicable,not-applicable,not-applicable,not-applicable,not-applicable,not-applicable,not-applicable
core-open,core.Scope.open[1]:federation,exercised,"SC-01,SC-02,SC-03",instantiated in vnc-045-instance.yaml,see instance,see instance,not-applicable,none - no common checker implements this model,not-applicable,not-applicable,not-applicable,not-applicable,not-applicable,not-applicable,not-applicable,not-applicable,not-applicable,not-applicable,not-applicable,not-applicable,not-applicable
core-open,core.Scope.open[2]:authority-root succession,exercised,SC-01,"Exercised and unresolved: AC-01 is the sole authority root and the sole forge identity; no succession event, no second root.",forge,see instance,not-applicable,none - no common checker implements this model,still-open,not-applicable,not-applicable,not-applicable,not-applicable,not-applicable,not-applicable,not-applicable,not-applicable,not-applicable,not-applicable,not-applicable,not-applicable
core-open,core.Scope.open[3]:termination and transfer,exercised,SC-03,SC-03 terminated at issue close with state_reason completed; no transfer observed. Termination is representable via expires_at.,forge,see instance,not-applicable,none - no common checker implements this model,still-open,not-applicable,not-applicable,not-applicable,not-applicable,not-applicable,not-applicable,not-applicable,not-applicable,not-applicable,not-applicable,not-applicable,not-applicable
core-attr,core.Goal.status,exercised,"GO-01,GO-02,GO-03",instantiated in vnc-045-instance.yaml,see instance,see instance,not-applicable,none - no common checker implements this model,not-applicable,not-applicable,not-applicable,not-applicable,not-applicable,not-applicable,not-applicable,not-applicable,not-applicable,not-applicable,not-applicable,not-applicable,not-applicable
core-attr,core.Goal.form,exercised,"GO-01,GO-02,GO-03",instantiated in vnc-045-instance.yaml,see instance,see instance,not-applicable,none - no common checker implements this model,not-applicable,not-applicable,not-applicable,not-applicable,not-applicable,not-applicable,not-applicable,not-applicable,not-applicable,not-applicable,not-applicable,not-applicable,not-applicable
core-attr,core.Goal.identity,exercised,"GO-01,GO-02,GO-03",instantiated in vnc-045-instance.yaml,see instance,see instance,not-applicable,none - no common checker implements this model,not-applicable,not-applicable,not-applicable,not-applicable,not-applicable,not-applicable,not-applicable,not-applicable,not-applicable,not-applicable,not-applicable,not-applicable,not-applicable
core-attr,core.Goal.versioned,exercised,"GO-01,GO-02,GO-03",instantiated in vnc-045-instance.yaml,see instance,see instance,not-applicable,none - no common checker implements this model,not-applicable,not-applicable,not-applicable,not-applicable,not-applicable,not-applicable,not-applicable,not-applicable,not-applicable,not-applicable,not-applicable,not-applicable,not-applicable
core-attr,core.Goal.definition,exercised,"GO-01,GO-02,GO-03",instantiated in vnc-045-instance.yaml,see instance,see instance,not-applicable,none - no common checker implements this model,not-applicable,not-applicable,not-applicable,not-applicable,not-applicable,not-applicable,not-applicable,not-applicable,not-applicable,not-applicable,not-applicable,not-applicable,not-applicable
core-field,core.Goal.fields.statement,exercised,"GO-01,GO-02,GO-03","MEASURED 3/3 Goal objects populate `statement` (GO-01, GO-02, GO-03). Prior boilerplate witness replaced by the measurement.",measured-join (vnc-045-instance.yaml),see instance,not-applicable,none - no common checker implements this model,not-applicable,not-applicable,not-applicable,not-applicable,not-applicable,not-applicable,not-applicable,not-applicable,not-applicable,not-applicable,not-applicable,not-applicable,not-applicable
core-field,core.Goal.fields.scope_ref,exercised,"GO-01,GO-02,GO-03","MEASURED 3/3 Goal objects populate `scope_ref` (GO-01, GO-02, GO-03). Prior boilerplate witness replaced by the measurement.",measured-join (vnc-045-instance.yaml),see instance,not-applicable,none - no common checker implements this model,not-applicable,not-applicable,not-applicable,not-applicable,not-applicable,not-applicable,not-applicable,not-applicable,not-applicable,not-applicable,not-applicable,not-applicable,not-applicable
core-field,core.Goal.fields.success_criteria,construct-pressure,"GO-01,GO-02,GO-03",missing-history on all three goals.,missing,"Unimatrix graph, outside the alphabet",I13,none,not-applicable,historical-evidence-gap,Goal content lives in Unimatrix entries #5517/#5518/#5474 and product/PRODUCT-VISION.md; neither is in the fixed S alphabet. Not invented.,represented-with-gap,not-applicable,not-applicable,not-applicable,not-applicable,not-applicable,true,not-applicable,not-applicable,not-applicable
core-field,core.Goal.fields.claim_floor,construct-pressure,"GO-01,GO-02,GO-03",missing-history. REQUIRED list<ref<Capability>>.,missing,see instance,not-applicable,none - no common checker implements this model,not-applicable,historical-evidence-gap,"Same as success_criteria. S01's uni-zero comments name capability ids (#5546, #5528) and quote two done_when clauses, but never the goals' claim floors.",represented-with-gap,not-applicable,not-applicable,not-applicable,not-applicable,not-applicable,true,not-applicable,not-applicable,not-applicable
core-field,core.Goal.fields.north_star,not-applicable,GO-01,"MEASURED 1/3 Goal objects populate `north_star`, and every populated value is the recorded-absence placeholder `missing-history`. The field is optional. GO-01 records it explicitly as `missing-history` and GO-02/GO-03 omit it; no Goal in the case carries a north-star Capability. The pre-join witness already read ""Optional; absent. Recorded absent, not inferred."" while the disposition read `exercised` — the same witness-versus-label disagreement the coverage gate ruled on, on a row its population assertion does not reach.",measured-join (vnc-045-instance.yaml),see instance,not-applicable,none - no common checker implements this model,not-applicable,not-applicable,not-applicable,not-applicable,not-applicable,not-applicable,not-applicable,not-applicable,not-applicable,not-applicable,not-applicable,not-applicable,not-applicable
core-field,core.Goal.fields.lifecycle_state,exercised,"GO-01,GO-02,GO-03","MEASURED 3/3 Goal objects populate `lifecycle_state` (GO-01, GO-02, GO-03). Prior boilerplate witness replaced by the measurement.",measured-join (vnc-045-instance.yaml),see instance,not-applicable,none - no common checker implements this model,not-applicable,not-applicable,not-applicable,not-applicable,not-applicable,not-applicable,not-applicable,not-applicable,not-applicable,not-applicable,not-applicable,not-applicable,not-applicable
core-relation,core.Goal.relations.requires,exercised,"GO-01,GO-02,GO-03","MEASURED 3/3 Goal objects populate `requires` (GO-01, GO-02, GO-03). Prior boilerplate witness replaced by the measurement.",measured-join (vnc-045-instance.yaml),see instance,not-applicable,none - no common checker implements this model,not-applicable,not-applicable,not-applicable,not-applicable,not-applicable,not-applicable,not-applicable,not-applicable,not-applicable,not-applicable,not-applicable,not-applicable,not-applicable
core-relation-cardinality,core.Goal.relations.requires.cardinality,exercised,"GO-01,GO-02,GO-03",instantiated in vnc-045-instance.yaml,see instance,see instance,not-applicable,none - no common checker implements this model,not-applicable,not-applicable,not-applicable,not-applicable,not-applicable,not-applicable,not-applicable,not-applicable,not-applicable,not-applicable,not-applicable,not-applicable,not-applicable
core-relation-inverse,core.Goal.relations.requires.inverse,exercised,"GO-01,GO-02,GO-03",instantiated in vnc-045-instance.yaml,see instance,see instance,not-applicable,none - no common checker implements this model,not-applicable,not-applicable,not-applicable,not-applicable,not-applicable,not-applicable,not-applicable,not-applicable,not-applicable,not-applicable,not-applicable,not-applicable,not-applicable
core-relation-rule,core.Goal.relations.requires.rule,exercised,"GO-01,GO-02,GO-03",instantiated in vnc-045-instance.yaml,see instance,see instance,not-applicable,none - no common checker implements this model,not-applicable,not-applicable,not-applicable,not-applicable,not-applicable,not-applicable,not-applicable,not-applicable,not-applicable,not-applicable,not-applicable,not-applicable,not-applicable
core-relation,core.Goal.relations.is_advanced_by,not-applicable,GO-01,"MEASURED 0/3 Goal objects populate `is_advanced_by` (zero). No capability-to-goal contribution exists in this case: both uni-zero reviews rule that vnc-045 advances no capability toward completion (S01 comment 4899256125; S02 issue-comment 4900099734). Absence, recorded as absence.",measured-join (vnc-045-instance.yaml),see instance,not-applicable,none - no common checker implements this model,not-applicable,not-applicable,not-applicable,not-applicable,not-applicable,not-applicable,not-applicable,not-applicable,not-applicable,not-applicable,not-applicable,not-applicable,not-applicable
core-relation-cardinality,core.Goal.relations.is_advanced_by.cardinality,exercised,"GO-01,GO-02,GO-03",instantiated in vnc-045-instance.yaml,see instance,see instance,not-applicable,none - no common checker implements this model,not-applicable,not-applicable,not-applicable,not-applicable,not-applicable,not-applicable,not-applicable,not-applicable,not-applicable,not-applicable,not-applicable,not-applicable,not-applicable
core-relation-inverse,core.Goal.relations.is_advanced_by.inverse,exercised,"GO-01,GO-02,GO-03",instantiated in vnc-045-instance.yaml,see instance,see instance,not-applicable,none - no common checker implements this model,not-applicable,not-applicable,not-applicable,not-applicable,not-applicable,not-applicable,not-applicable,not-applicable,not-applicable,not-applicable,not-applicable,not-applicable,not-applicable
core-relation-rule,core.Goal.relations.is_advanced_by.rule,exercised,"GO-01,GO-02,GO-03",instantiated in vnc-045-instance.yaml,see instance,see instance,not-applicable,none - no common checker implements this model,not-applicable,not-applicable,not-applicable,not-applicable,not-applicable,not-applicable,not-applicable,not-applicable,not-applicable,not-applicable,not-applicable,not-applicable,not-applicable
core-relation,core.Goal.relations.directs,exercised,GO-01 -> UN-02,Goal directs the Unit without becoming its Scope (SC-03 is). · MEASURED 1/3 Goal objects populate `directs`.,derived,see instance,not-applicable,none - no common checker implements this model,not-applicable,not-applicable,not-applicable,not-applicable,not-applicable,not-applicable,not-applicable,not-applicable,not-applicable,not-applicable,not-applicable,not-applicable,not-applicable
core-relation-cardinality,core.Goal.relations.directs.cardinality,exercised,"GO-01,GO-02,GO-03",instantiated in vnc-045-instance.yaml,see instance,see instance,not-applicable,none - no common checker implements this model,not-applicable,not-applicable,not-applicable,not-applicable,not-applicable,not-applicable,not-applicable,not-applicable,not-applicable,not-applicable,not-applicable,not-applicable,not-applicable
core-relation-inverse,core.Goal.relations.directs.inverse,exercised,"GO-01,GO-02,GO-03",instantiated in vnc-045-instance.yaml,see instance,see instance,not-applicable,none - no common checker implements this model,not-applicable,not-applicable,not-applicable,not-applicable,not-applicable,not-applicable,not-applicable,not-applicable,not-applicable,not-applicable,not-applicable,not-applicable,not-applicable
core-relation-rule,core.Goal.relations.directs.rule,exercised,"GO-01,GO-02,GO-03",instantiated in vnc-045-instance.yaml,see instance,see instance,not-applicable,none - no common checker implements this model,not-applicable,not-applicable,not-applicable,not-applicable,not-applicable,not-applicable,not-applicable,not-applicable,not-applicable,not-applicable,not-applicable,not-applicable,not-applicable
core-invariant-binding,core.Goal.invariants.I13,exercised,"GO-01,GO-02,GO-03",instantiated in vnc-045-instance.yaml,see instance,see instance,not-applicable,none - no common checker implements this model,not-applicable,not-applicable,not-applicable,not-applicable,not-applicable,not-applicable,not-applicable,not-applicable,not-applicable,not-applicable,not-applicable,not-applicable,not-applicable
core-attr,core.Capability.status,exercised,"CP-01,CP-02",instantiated in vnc-045-instance.yaml,see instance,see instance,not-applicable,none - no common checker implements this model,not-applicable,not-applicable,not-applicable,not-applicable,not-applicable,not-applicable,not-applicable,not-applicable,not-applicable,not-applicable,not-applicable,not-applicable,not-applicable
core-attr,core.Capability.form,exercised,"CP-01,CP-02",instantiated in vnc-045-instance.yaml,see instance,see instance,not-applicable,none - no common checker implements this model,not-applicable,not-applicable,not-applicable,not-applicable,not-applicable,not-applicable,not-applicable,not-applicable,not-applicable,not-applicable,not-applicable,not-applicable,not-applicable
core-attr,core.Capability.identity,exercised,"CP-01,CP-02",instantiated in vnc-045-instance.yaml,see instance,see instance,not-applicable,none - no common checker implements this model,not-applicable,not-applicable,not-applicable,not-applicable,not-applicable,not-applicable,not-applicable,not-applicable,not-applicable,not-applicable,not-applicable,not-applicable,not-applicable
core-attr,core.Capability.versioned,exercised,"CP-01,CP-02",instantiated in vnc-045-instance.yaml,see instance,see instance,not-applicable,none - no common checker implements this model,not-applicable,not-applicable,not-applicable,not-applicable,not-applicable,not-applicable,not-applicable,not-applicable,not-applicable,not-applicable,not-applicable,not-applicable,not-applicable
core-attr,core.Capability.definition,exercised,"CP-01,CP-02",instantiated in vnc-045-instance.yaml,see instance,see instance,not-applicable,none - no common checker implements this model,not-applicable,not-applicable,not-applicable,not-applicable,not-applicable,not-applicable,not-applicable,not-applicable,not-applicable,not-applicable,not-applicable,not-applicable,not-applicable
core-field,core.Capability.fields.name,exercised,"CP-01,CP-02","MEASURED 2/2 Capability objects populate `name` (CP-01, CP-02). Prior boilerplate witness replaced by the measurement.",measured-join (vnc-045-instance.yaml),see instance,not-applicable,none - no common checker implements this model,not-applicable,not-applicable,not-applicable,not-applicable,not-applicable,not-applicable,not-applicable,not-applicable,not-applicable,not-applicable,not-applicable,not-applicable,not-applicable
core-field,core.Capability.fields.observable_behavior,exercised,"CP-01,CP-02","MEASURED 2/2 Capability objects populate `observable_behavior` (CP-01, CP-02). Prior boilerplate witness replaced by the measurement.",measured-join (vnc-045-instance.yaml),see instance,not-applicable,none - no common checker implements this model,not-applicable,not-applicable,not-applicable,not-applicable,not-applicable,not-applicable,not-applicable,not-applicable,not-applicable,not-applicable,not-applicable,not-applicable,not-applicable
core-field,core.Capability.fields.scope_ref,exercised,"CP-01,CP-02","MEASURED 2/2 Capability objects populate `scope_ref` (CP-01, CP-02). Prior boilerplate witness replaced by the measurement.",measured-join (vnc-045-instance.yaml),see instance,not-applicable,none - no common checker implements this model,not-applicable,not-applicable,not-applicable,not-applicable,not-applicable,not-applicable,not-applicable,not-applicable,not-applicable,not-applicable,not-applicable,not-applicable,not-applicable
core-field,core.Capability.fields.classification_refs,exercised,"CP-01,CP-02","MEASURED 2/2 Capability objects populate `classification_refs` (CP-01, CP-02). Prior boilerplate witness replaced by the measurement.",measured-join (vnc-045-instance.yaml),see instance,not-applicable,none - no common checker implements this model,not-applicable,not-applicable,not-applicable,not-applicable,not-applicable,not-applicable,not-applicable,not-applicable,not-applicable,not-applicable,not-applicable,not-applicable,not-applicable
core-field,core.Capability.fields.done_when,construct-pressure,"CP-01,CP-02",CP-01 partially recoverable from S01's quoted clauses; CP-02 missing-history.,doc-claim,see instance,not-applicable,none - no common checker implements this model,not-applicable,historical-evidence-gap,"done_when text lives in the Unimatrix nodes, outside the alphabet.",represented-with-gap,not-applicable,not-applicable,not-applicable,not-applicable,not-applicable,true,not-applicable,not-applicable,not-applicable
core-field,core.Capability.fields.grade,construct-pressure,CP-02,"UNREPRESENTABLE. Observed value 'asserted'; M01's closed set is [missing,claimed,partial,proven].",doc-claim,see instance,I9,none,model-pressure,model-defect,"SR-10 quotes uni-capability SKILL.md's set {proven,partial,missing,asserted}; S01 OQ-1 rules 'asserted' authoritative and 'claimed' a slip. Recording 'claimed' would be silent normalisation of the exact term the program rejected. See rejected counterfactual CF-R01 for why renaming the project is circular.",reject,not-applicable,not-applicable,not-applicable,not-applicable,not-applicable,true,not-applicable,not-applicable,not-applicable
