x_id,x_class,row_scope,source_id,model_path,instance_id,instance_version,value,provenance,custody,invariant_check_ids,enforcement_reality,open_pressure_disposition,w1_disposition,w2_disposition,reconciled_disposition,divergence_class,divergence_adjudication,w3_fixture_ids,w3_results,w3_adverse,cause_classification,classification_evidence,current_project_fit,evolution_change,independent_reason,semantic_proof_authority_custody_preservation,migration_cost,affected_artifacts,current_form_representable,evolved_form_representable,post_evolution_fit,unresolved_discriminator,evolution_candidate_id,evolution_challenge_result,w4_adjudication
notation.identity,notation,model-X,"[W1] R01,R02,R03,R04,R05,R06,M01,M02,M06,T01,T02 || [W2] M01,M02,M06,S01-S06,T01-T03",notation.identity,[W2] whole instance,not-applicable,"[W1] ids are opaque in the instance. In the project they are NOT: a commit id is content-derived and was reissued, and Unimatrix reissues on correction. || [W2] Consumed while parsing M01 and encoding the case.",[W1] wfh-008 alphabet R + M01 as parsed + T01/T02 (ledgered transitive) || [W2] derived,not-applicable,[W1] see instance + wfh-008-validate.py output,[W1] n/a,[W1] n/a,construct-pressure,exercised,construct-pressure,divergent,"MODEL-INTRINSIC divergence: the property is a property of M01, so a case difference cannot explain it. Adjudicated on the workstreams' own evidence text plus W3 execution.",not-applicable,not-applicable,not-applicable,enforcement-gap|project-evolution-candidate,"[W1] MEASURED: a rebase reissued every wfh-008 commit id after the run closed - twelve spread author timestamps against ONE uniform committer timestamp (2026-08-28 14:20:37 -0400), author identity preserved, committer dug-21 <angryweed@gmail.com> applied uniformly, matching a reflog `rebase (finish)`; trees identical across every pair tested. wfh-010 W1 records the mismatch as differing 'displayed abbreviations'; that reading is wrong - they are different objects. No adaptation Event exists for the rewrite and git holds no supersession link from the new id to the old, whereas Unimatrix's context_correct reissues an id AND leaves a queryable chain. CORRECTION 1 (2026-08-29): an earlier version asserted the recorded baselines no longer resolve. RETRACTED - wfh-010's R08 ledger pins the post-rebase oids and all twelve are ancestors of main. CORRECTION 2 (2026-08-29): a follow-up asserted the pre-rebase ids survive on a branch PUBLISHED on origin. ALSO RETRACTED - that read a stale local remote-tracking ref as evidence about the remote; git ls-remote returns nine heads without it, git fetch --prune --dry-run reports it deleted, delete_branch_on_merge is true. Those ten ids resolve today only via this clone's local branch ref and via forge retention of the bare oid - two unprotected behaviours, not durability. The pressure survives at reduced weight.","[W1] REPRESENTABLE. baseline_ref is `text`, so any commit id conforms and no V5 rule was violated by the rewrite. The residue is narrow: `text` carries no integrity binding, and V5 cannot say whether a baseline's custody store preserves a supersession link.","[W1] see CF-01 - record baselines as git-tree oids alongside commit ids, and do not rebase a branch after a gate has ruled against it","[W1] STATED, NOT ARGUED: ten gate citations in the run's governance record resolve today only through two unprotected accidents - this clone's local branch ref and the forge answering for a bare oid contained by no branch. No published branch backs either. True with or without V5. Two earlier rationales are WITHDRAWN and named in the classification_evidence. Whether this residual is independently sufficient is W4's ruling, not the author's.","[W1] preserves everything; adds an identifier stable under the operation that reissued the existing one, and retains the original ids","[W1] one method commit plus, optionally, a dated errata note on the ten prose citations; no existing record is rewritten",[W1] .claude/skills/factory-git/SKILL.md; .claude/workflow/research-scope.md; product/factory/templates/scope.md,[W1] yes,[W1] yes,[W1] identical V5 shape; the pin survives a future rewrite,not-applicable,W1/CF-01,"survives-with-recorded-defect (concern 17: after the 2026-08-29 correction the affected_artifacts list DROPPED the two errata surfaces, while W4 measurement STRENGTHENED the residual - origin has no workflow/* branch at all)",not-applicable
notation.versioned,notation,model-X,"[W1] R01,R02,R03,R04,R05,R06,M01,M02,M06,T01,T02 || [W2] M01,M02,M06,S01-S06,T01-T03",notation.versioned,[W2] whole instance,not-applicable,[W1] versioned:true constructs carry a version in the instance and versioned:false ones do not; the checker enforces both directions || [W2] Consumed while parsing M01 and encoding the case.,[W1] wfh-008 alphabet R + M01 as parsed + T01/T02 (ledgered transitive) || [W2] derived,not-applicable,[W1] see instance + wfh-008-validate.py output,[W1] mechanically checkable and checked,[W1] n/a,exercised,exercised,exercised,agree,not-applicable (both workstreams agree),not-applicable,not-applicable,not-applicable,not-applicable,not-applicable,not-applicable,not-applicable,not-applicable,not-applicable,not-applicable,not-applicable,not-applicable,not-applicable,not-applicable,not-applicable,not-applicable,not-applicable,not-applicable
notation.fields,notation,model-X,"[W1] R01,R02,R03,R04,R05,R06,M01,M02,M06,T01,T02 || [W2] M01,M02,M06,S01-S06,T01-T03",notation.fields,[W2] whole instance,not-applicable,[W1] all 15 constructs parsed under this notation with no ambiguity except the list<> case || [W2] Consumed while parsing M01 and encoding the case.,[W1] wfh-008 alphabet R + M01 as parsed + T01/T02 (ledgered transitive) || [W2] derived,not-applicable,[W1] see instance + wfh-008-validate.py output,[W1] n/a,[W1] n/a,exercised,exercised,exercised,agree,not-applicable (both workstreams agree),not-applicable,not-applicable,not-applicable,model-defect,"[W1] Goal.claim_floor is 'list<ref<Capability>>, required: true'. notation does not say whether `required` on a list type means 'key present' or 'non-empty'. The instance writes [] and a checker cannot decide whether that conforms.",[W1] ambiguous: encoded as an empty list; a rejecting counterexample cannot be constructed until the notation resolves,not-applicable,not-applicable,not-applicable,not-applicable,not-applicable,[W1] yes,not-applicable,not-applicable,not-applicable,not-applicable,not-applicable,not-applicable
notation.relations,notation,model-X,"[W1] R01,R02,R03,R04,R05,R06,M01,M02,M06,T01,T02 || [W2] M01,M02,M06,S01-S06,T01-T03",notation.relations,[W2] whole instance,not-applicable,[W1] name/target/cardinality/inverse/rule consumed mechanically || [W2] Consumed while parsing M01 and encoding the case.,[W1] wfh-008 alphabet R + M01 as parsed + T01/T02 (ledgered transitive) || [W2] derived,not-applicable,[W1] see instance + wfh-008-validate.py output,[W1] n/a,[W1] n/a,exercised,exercised,exercised,agree,not-applicable (both workstreams agree),not-applicable,not-applicable,not-applicable,not-applicable,not-applicable,not-applicable,not-applicable,not-applicable,not-applicable,not-applicable,not-applicable,not-applicable,not-applicable,not-applicable,not-applicable,not-applicable,not-applicable,not-applicable
notation.types,notation,model-X,"[W1] R01,R02,R03,R04,R05,R06,M01,M02,M06,T01,T02 || [W2] M01,M02,M06,S01-S06,T01-T03",notation.types,"[W2] EB-01,CP-02,TE-01",not-applicable,"[W1] text, timestamp, digest, bool, ref<X>, list<ref<X>>, enum[...] and map all exercised. `list` (bare) and `list<text>` appear in the model but are NOT in the declared type vocabulary. || [W2] The declared type set is where three fields fail: bool (EffectBoundary.can_refuse), ref<value.evidence_grade> (CP-02, TE-01) and timestamp (EV-05.occurred_at) all have no admissible value from the alphabet.",[W1] wfh-008 alphabet R + M01 as parsed + T01/T02 (ledgered transitive) || [W2] derived,not-applicable,[W1] see instance + wfh-008-validate.py output,[W1] n/a,[W1] S3 also notes form/owner/extension_owner are undocumented in notation,construct-pressure,construct-pressure,construct-pressure,agree,not-applicable (both workstreams agree),not-applicable,not-applicable,not-applicable,historical-evidence-gap|model-defect|project-evolution-candidate,"[W1] Record.content_digest is a required digest. Eleven of the 22 Record instances cannot supply one: Unimatrix exposes no content digest through its read API, the forge exposes none for an Issue, and the cycle service exposes none. The overwritten skill state was never captured at all. Sentinels are written and every one is reported by the checker as MODEL-FORCED-APPROXIMATION. || [W2] M01 offers no 'unestablished' or 'unknown' member for a REQUIRED typed field, so an honest encoder must write a claim or leave the instance non-conforming. values.currentness has 'unknown' and effect_disposition has 'unknown'; the type system does not.",[W1] HALF REPRESENTABLE: file-backed Records carry real sha256 values; every service-backed Record cannot. || [W2] represented-with-gap,[W1] expose a content digest on knowledge-node reads,"[W1] a digest is what lets a later reader prove a cited node is the node that was cited; the run's own goal-owner re-read #316-#319 and could verify ids, status and edges but not content - it says so explicitly",[W1] preserves; a digest adds verifiability and moves no authority,"[W1] a change to a service outside this repository, which this scope cannot cost and must not recommend building",[W1] the Unimatrix read API; out of this repository,[W1] partially || [W2] partial,[W1] yes,[W1] Record.content_digest becomes satisfiable for knowledge nodes,"[W1] whether the model should relax content_digest to optional for externally-custodied Records, or the stores should expose one, is not decidable from one case",W1/CF-07,FAILS concern 17 (migration realism),not-applicable
core.Scope.status,core-attr,model-X,"[W1] R01,R02,R03,R04,R05,R06,M01,M02,M06,T01,T02 || [W2] M01,M02,M06,S01-S06,T01-T03",core.Scope.status,"[W2] SC-01,SC-02,SC-03",not-applicable,"[W1] model status=OPEN; consumed as test input, not as permission to fill holes || [W2] instantiated in vnc-045-instance.yaml",[W1] wfh-008 alphabet R + M01 as parsed + T01/T02 (ledgered transitive) || [W2] see instance,"[W1] git (themes.md, SCOPE.md) + forge || [W2] see instance",[W1] see instance + wfh-008-validate.py output,[W2] none - no common checker implements this model,[W1] n/a,exercised,exercised,exercised,agree,not-applicable (both workstreams agree),not-applicable,not-applicable,not-applicable,not-applicable,not-applicable,not-applicable,not-applicable,not-applicable,not-applicable,not-applicable,not-applicable,not-applicable,not-applicable,not-applicable,not-applicable,not-applicable,not-applicable,not-applicable
core.Scope.form,core-attr,model-X,"[W1] R01,R02,R03,R04,R05,R06,M01,M02,M06,T01,T02 || [W2] M01,M02,M06,S01-S06,T01-T03",core.Scope.form,"[W1] SC-COL,SC-PROG,SC-MIS || [W2] SC-01,SC-02,SC-03",1,[W1] form=entity || [W2] instantiated in vnc-045-instance.yaml,[W1] wfh-008 alphabet R + M01 as parsed + T01/T02 (ledgered transitive) || [W2] see instance,"[W1] git (themes.md, SCOPE.md) + forge || [W2] see instance",[W1] see instance + wfh-008-validate.py output,[W2] none - no common checker implements this model,[W1] S3: form is undocumented in notation,exercised,exercised,exercised,agree,not-applicable (both workstreams agree),not-applicable,not-applicable,not-applicable,not-applicable,not-applicable,not-applicable,not-applicable,not-applicable,not-applicable,not-applicable,not-applicable,not-applicable,not-applicable,not-applicable,not-applicable,not-applicable,not-applicable,not-applicable
core.Scope.identity,core-attr,model-X,"[W1] R01,R02,R03,R04,R05,R06,M01,M02,M06,T01,T02 || [W2] M01,M02,M06,S01-S06,T01-T03",core.Scope.identity,"[W1] SC-COL,SC-PROG,SC-MIS || [W2] SC-01,SC-02,SC-03",1,[W1] identity=scope_id; opaque ids in the instance || [W2] instantiated in vnc-045-instance.yaml,[W1] wfh-008 alphabet R + M01 as parsed + T01/T02 (ledgered transitive) || [W2] see instance,"[W1] git (themes.md, SCOPE.md) + forge || [W2] see instance",[W1] see instance + wfh-008-validate.py output,[W1] specified-not-enforced || [W2] none - no common checker implements this model,[W1] n/a,exercised,exercised,exercised,agree,not-applicable (both workstreams agree),not-applicable,not-applicable,not-applicable,not-applicable,not-applicable,not-applicable,not-applicable,not-applicable,not-applicable,not-applicable,not-applicable,not-applicable,not-applicable,not-applicable,not-applicable,not-applicable,not-applicable,not-applicable
core.Scope.versioned,core-attr,model-X,"[W1] R01,R02,R03,R04,R05,R06,M01,M02,M06,T01,T02 || [W2] M01,M02,M06,S01-S06,T01-T03",core.Scope.versioned,"[W1] SC-COL,SC-PROG,SC-MIS || [W2] SC-01,SC-02,SC-03",1,[W1] versioned=True; the checker enforces presence/absence of a version on every instance || [W2] instantiated in vnc-045-instance.yaml,[W1] wfh-008 alphabet R + M01 as parsed + T01/T02 (ledgered transitive) || [W2] see instance,"[W1] git (themes.md, SCOPE.md) + forge || [W2] see instance",[W1] see instance + wfh-008-validate.py output,[W1] mechanically checkable and checked || [W2] none - no common checker implements this model,[W1] n/a,exercised,exercised,exercised,agree,not-applicable (both workstreams agree),not-applicable,not-applicable,not-applicable,not-applicable,not-applicable,not-applicable,not-applicable,not-applicable,not-applicable,not-applicable,not-applicable,not-applicable,not-applicable,not-applicable,not-applicable,not-applicable,not-applicable,not-applicable
core.Scope.definition,core-attr,model-X,"[W2] M01,M02,M06,S01-S06,T01-T03",core.Scope.definition,"[W2] SC-01,SC-02,SC-03",not-applicable,[W2] instantiated in vnc-045-instance.yaml,[W2] see instance,[W2] see instance,not-applicable,[W2] none - no common checker implements this model,not-applicable,not-enumerated,exercised,exercised,w1-not-enumerated,"W1 did not enumerate this X item. Its 468-row enumeration rolls relation sub-keys, per-invariant bindings, construct `definition` and registry seed-fields up into coarser rows; W2's 679-row enumeration matches the SCOPE X clause literally and is adopted as the canonical spine. Reconciled from W2 alone - absence is not filled.",not-applicable,not-applicable,not-applicable,not-applicable,not-applicable,not-applicable,not-applicable,not-applicable,not-applicable,not-applicable,not-applicable,not-applicable,not-applicable,not-applicable,not-applicable,not-applicable,not-applicable,not-applicable
core.Scope.fields.scope_type,core-field,model-X,"[W1] R01,R02,R03,R04,R05,R06,M01,M02,M06,T01,T02 || [W2] M01,M02,M06,S01-S06,T01-T03",core.Scope.fields.scope_type,"[W1] SC-COL,SC-PROG,SC-MIS,SC-TEAM || [W2] SC-01,SC-02,SC-03",1,"[W1] set on 4/4 instances || [W2] MEASURED 3/3 Scope objects populate `scope_type` (SC-01, SC-02, SC-03). Prior boilerplate witness replaced by the measurement.",[W1] wfh-008 alphabet R + M01 as parsed + T01/T02 (ledgered transitive) || [W2] measured-join (vnc-045-instance.yaml),"[W1] git (themes.md, SCOPE.md) + forge || [W2] see instance",[W1] see instance + wfh-008-validate.py output,[W1] specified-not-enforced || [W2] none - no common checker implements this model,[W1] n/a,exercised,exercised,exercised,agree,not-applicable (both workstreams agree),not-applicable,not-applicable,not-applicable,not-applicable,not-applicable,not-applicable,not-applicable,not-applicable,not-applicable,not-applicable,not-applicable,not-applicable,not-applicable,not-applicable,not-applicable,not-applicable,not-applicable,not-applicable
core.Scope.fields.name,core-field,model-X,"[W1] R01,R02,R03,R04,R05,R06,M01,M02,M06,T01,T02 || [W2] M01,M02,M06,S01-S06,T01-T03",core.Scope.fields.name,"[W1] SC-COL,SC-PROG,SC-MIS,SC-TEAM || [W2] SC-01,SC-02,SC-03",1,"[W1] set on 4/4 instances || [W2] MEASURED 3/3 Scope objects populate `name` (SC-01, SC-02, SC-03). Prior boilerplate witness replaced by the measurement.",[W1] wfh-008 alphabet R + M01 as parsed + T01/T02 (ledgered transitive) || [W2] measured-join (vnc-045-instance.yaml),"[W1] git (themes.md, SCOPE.md) + forge || [W2] see instance",[W1] see instance + wfh-008-validate.py output,[W1] specified-not-enforced || [W2] none - no common checker implements this model,[W1] n/a,exercised,exercised,exercised,agree,not-applicable (both workstreams agree),not-applicable,not-applicable,not-applicable,not-applicable,not-applicable,not-applicable,not-applicable,not-applicable,not-applicable,not-applicable,not-applicable,not-applicable,not-applicable,not-applicable,not-applicable,not-applicable,not-applicable,not-applicable
